[4811.9529, 'N', 300.88, 'W', 72035.0]
[4811.9529, 'N', 300.8805, 'W', 72036.0]
[4811.9531, 'N', 300.8806, 'W', 72037.0]
[4811.9531, 'N', 300.8807, 'W', 72038.0]
[4811.9531, 'N', 300.8807, 'W', 72039.0]
[4811.953, 'N', 300.8809, 'W', 72040.0]
[4811.9531, 'N', 300.8811, 'W', 72041.0]
[4811.9531, 'N', 300.8813, 'W', 72042.0]
[4811.9533, 'N', 300.882, 'W', 72043.0]
[4811.9535, 'N', 300.8831, 'W', 72044.0]
[4811.9536, 'N', 300.8844, 'W', 72045.0]
[4811.9537, 'N', 300.8857, 'W', 72046.0]
[4811.9538, 'N', 300.8871, 'W', 72047.0]
[4811.9539, 'N', 300.8885, 'W', 72048.0]
[4811.954, 'N', 300.8898, 'W', 72049.0]
[4811.9542, 'N', 300.8911, 'W', 72050.0]
[4811.9544, 'N', 300.8925, 'W', 72051.0]
[4811.9545, 'N', 300.8938, 'W', 72052.0]
[4811.9546, 'N', 300.8951, 'W', 72053.0]
[4811.9547, 'N', 300.8964, 'W', 72054.0]
[4811.9548, 'N', 300.8978, 'W', 72055.0]
[4811.9549, 'N', 300.8991, 'W', 72056.0]
[4811.955, 'N', 300.9004, 'W', 72057.0]
[4811.9551, 'N', 300.9018, 'W', 72058.0]
[4811.9553, 'N', 300.9031, 'W', 72059.0]
[4811.9555, 'N', 300.9044, 'W', 72100.0]
[4811.9557, 'N', 300.9057, 'W', 72101.0]
[4811.9559, 'N', 300.907, 'W', 72102.0]
[4811.9562, 'N', 300.9083, 'W', 72103.0]
[4811.9565, 'N', 300.9095, 'W', 72104.0]
[4811.9568, 'N', 300.9107, 'W', 72105.0]
[4811.9571, 'N', 300.912, 'W', 72106.0]
[4811.9575, 'N', 300.9132, 'W', 72107.0]
[4811.958, 'N', 300.9143, 'W', 72108.0]
[4811.9585, 'N', 300.9155, 'W', 72109.0]
[4811.959, 'N', 300.9166, 'W', 72110.0]
[4811.9596, 'N', 300.9177, 'W', 72111.0]
[4811.9602, 'N', 300.9187, 'W', 72112.0]
[4811.9608, 'N', 300.9196, 'W', 72113.0]
[4811.9615, 'N', 300.9206, 'W', 72114.0]
[4811.9621, 'N', 300.9214, 'W', 72115.0]
[4811.9628, 'N', 300.9221, 'W', 72116.0]
[4811.9636, 'N', 300.9227, 'W', 72117.0]
[4811.9644, 'N', 300.9234, 'W', 72118.0]
[4811.9652, 'N', 300.9239, 'W', 72119.0]
[4811.966, 'N', 300.9244, 'W', 72120.0]
[4811.9669, 'N', 300.9247, 'W', 72121.0]
[4811.9677, 'N', 300.9248, 'W', 72122.0]
[4811.9685, 'N', 300.9249, 'W', 72123.0]
[4811.9694, 'N', 300.9251, 'W', 72124.0]
[4811.9703, 'N', 300.9251, 'W', 72125.0]
[4811.9711, 'N', 300.9249, 'W', 72126.0]
[4811.9719, 'N', 300.9246, 'W', 72127.0]
[4811.9728, 'N', 300.9243, 'W', 72128.0]
[4811.9736, 'N', 300.924, 'W', 72129.0]
[4811.9744, 'N', 300.9236, 'W', 72130.0]
[4811.9752, 'N', 300.9233, 'W', 72131.0]
[4811.9761, 'N', 300.9228, 'W', 72132.0]
[4811.9768, 'N', 300.9223, 'W', 72133.0]
[4811.9776, 'N', 300.9216, 'W', 72134.0]
[4811.9783, 'N', 300.9208, 'W', 72135.0]
[4811.979, 'N', 300.9199, 'W', 72136.0]
[4811.9796, 'N', 300.919, 'W', 72137.0]
[4811.9801, 'N', 300.918, 'W', 72138.0]
[4811.9806, 'N', 300.9169, 'W', 72139.0]
[4811.9809, 'N', 300.9157, 'W', 72140.0]
[4811.9811, 'N', 300.9145, 'W', 72141.0]
[4811.9811, 'N', 300.9133, 'W', 72142.0]
[4811.9808, 'N', 300.9122, 'W', 72143.0]
[4811.9802, 'N', 300.9113, 'W', 72144.0]
[4811.9795, 'N', 300.9107, 'W', 72145.0]
[4811.9788, 'N', 300.9104, 'W', 72146.0]
[4811.978, 'N', 300.9104, 'W', 72147.0]
[4811.9771, 'N', 300.9104, 'W', 72148.0]
[4811.9763, 'N', 300.9106, 'W', 72149.0]
[4811.9754, 'N', 300.9109, 'W', 72150.0]
[4811.9746, 'N', 300.9112, 'W', 72151.0]
[4811.9738, 'N', 300.9117, 'W', 72152.0]
[4811.973, 'N', 300.9121, 'W', 72153.0]
[4811.9722, 'N', 300.9127, 'W', 72154.0]
[4811.9714, 'N', 300.9132, 'W', 72155.0]
[4811.9706, 'N', 300.9138, 'W', 72156.0]
[4811.9698, 'N', 300.9144, 'W', 72157.0]
[4811.969, 'N', 300.9151, 'W', 72158.0]
[4811.9683, 'N', 300.9159, 'W', 72159.0]
[4811.9676, 'N', 300.9167, 'W', 72200.0]
[4811.9669, 'N', 300.9176, 'W', 72201.0]
[4811.9663, 'N', 300.9185, 'W', 72202.0]
[4811.9658, 'N', 300.9194, 'W', 72203.0]
[4811.9652, 'N', 300.9203, 'W', 72204.0]
[4811.9647, 'N', 300.9214, 'W', 72205.0]
[4811.9642, 'N', 300.9226, 'W', 72206.0]
[4811.9639, 'N', 300.9239, 'W', 72207.0]
[4811.9637, 'N', 300.9252, 'W', 72208.0]
[4811.9637, 'N', 300.9265, 'W', 72209.0]
[4811.9638, 'N', 300.9278, 'W', 72210.0]
[4811.9641, 'N', 300.9289, 'W', 72211.0]
[4811.9647, 'N', 300.9299, 'W', 72212.0]
[4811.9653, 'N', 300.9307, 'W', 72213.0]
[4811.9659, 'N', 300.9313, 'W', 72214.0]
[4811.9667, 'N', 300.9316, 'W', 72215.0]
[4811.9676, 'N', 300.9317, 'W', 72216.0]
[4811.9686, 'N', 300.9317, 'W', 72217.0]
[4811.9695, 'N', 300.9316, 'W', 72218.0]
[4811.9703, 'N', 300.9314, 'W', 72219.0]
[4811.9712, 'N', 300.931, 'W', 72220.0]
[4811.9721, 'N', 300.9305, 'W', 72221.0]
[4811.9729, 'N', 300.93, 'W', 72222.0]
[4811.9737, 'N', 300.9294, 'W', 72223.0]
[4811.9744, 'N', 300.9288, 'W', 72224.0]
[4811.975, 'N', 300.928, 'W', 72225.0]
[4811.9758, 'N', 300.9272, 'W', 72226.0]
[4811.9764, 'N', 300.9263, 'W', 72227.0]
[4811.977, 'N', 300.9254, 'W', 72228.0]
[4811.9776, 'N', 300.9244, 'W', 72229.0]
[4811.9781, 'N', 300.9234, 'W', 72230.0]
[4811.9786, 'N', 300.9223, 'W', 72231.0]
[4811.9791, 'N', 300.9212, 'W', 72232.0]
[4811.9795, 'N', 300.9201, 'W', 72233.0]
[4811.9798, 'N', 300.919, 'W', 72234.0]
[4811.9801, 'N', 300.9178, 'W', 72235.0]
[4811.9803, 'N', 300.9166, 'W', 72236.0]
[4811.9805, 'N', 300.9153, 'W', 72237.0]
[4811.9807, 'N', 300.914, 'W', 72238.0]
[4811.9807, 'N', 300.9128, 'W', 72239.0]
[4811.9807, 'N', 300.9116, 'W', 72240.0]
[4811.9804, 'N', 300.9103, 'W', 72241.0]
[4811.98, 'N', 300.9092, 'W', 72242.0]
[4811.9795, 'N', 300.9082, 'W', 72243.0]
[4811.9788, 'N', 300.9074, 'W', 72244.0]
[4811.978, 'N', 300.9069, 'W', 72245.0]
[4811.9771, 'N', 300.9066, 'W', 72246.0]
[4811.9763, 'N', 300.9066, 'W', 72247.0]
[4811.9755, 'N', 300.9068, 'W', 72248.0]
[4811.9746, 'N', 300.9071, 'W', 72249.0]
[4811.9738, 'N', 300.9074, 'W', 72250.0]
[4811.9729, 'N', 300.9078, 'W', 72251.0]
[4811.9721, 'N', 300.9082, 'W', 72252.0]
[4811.9713, 'N', 300.9087, 'W', 72253.0]
[4811.9705, 'N', 300.9094, 'W', 72254.0]
[4811.9697, 'N', 300.9101, 'W', 72255.0]
[4811.969, 'N', 300.9107, 'W', 72256.0]
[4811.9682, 'N', 300.9114, 'W', 72257.0]
[4811.9676, 'N', 300.912, 'W', 72258.0]
[4811.9669, 'N', 300.9127, 'W', 72259.0]
[4811.9662, 'N', 300.9135, 'W', 72300.0]
[4811.9656, 'N', 300.9145, 'W', 72301.0]
[4811.965, 'N', 300.9154, 'W', 72302.0]
[4811.9644, 'N', 300.9164, 'W', 72303.0]
[4811.9638, 'N', 300.9174, 'W', 72304.0]
[4811.9633, 'N', 300.9186, 'W', 72305.0]
[4811.9628, 'N', 300.9197, 'W', 72306.0]
[4811.9624, 'N', 300.9209, 'W', 72307.0]
[4811.9621, 'N', 300.9223, 'W', 72308.0]
