[4811.9708, 'N', 300.9193, 'W', 92131.0]
[4811.9708, 'N', 300.9193, 'W', 92132.0]
[4811.9704, 'N', 300.9198, 'W', 92133.0]
[4811.97, 'N', 300.9205, 'W', 92134.0]
[4811.97, 'N', 300.9213, 'W', 92135.0]
[4811.9704, 'N', 300.9218, 'W', 92136.0]
[4811.9709, 'N', 300.922, 'W', 92137.0]
[4811.9714, 'N', 300.9221, 'W', 92138.0]
[4811.9718, 'N', 300.9226, 'W', 92139.0]
[4811.9721, 'N', 300.9231, 'W', 92140.0]
[4811.9725, 'N', 300.9231, 'W', 92141.0]
[4811.9729, 'N', 300.9236, 'W', 92142.0]
[4811.9732, 'N', 300.9243, 'W', 92143.0]
[4811.9738, 'N', 300.9246, 'W', 92144.0]
[4811.9742, 'N', 300.925, 'W', 92145.0]
[4811.9748, 'N', 300.9251, 'W', 92146.0]
[4811.9753, 'N', 300.9253, 'W', 92147.0]
[4811.9758, 'N', 300.9255, 'W', 92148.0]
[4811.9763, 'N', 300.9257, 'W', 92149.0]
[4811.9768, 'N', 300.9259, 'W', 92150.0]
[4811.9773, 'N', 300.9261, 'W', 92151.0]
[4811.9778, 'N', 300.9263, 'W', 92152.0]
[4811.9781, 'N', 300.9269, 'W', 92153.0]
[4811.9785, 'N', 300.9275, 'W', 92154.0]
[4811.9789, 'N', 300.9279, 'W', 92155.0]
[4811.9793, 'N', 300.9283, 'W', 92156.0]
[4811.9798, 'N', 300.9285, 'W', 92157.0]
[4811.9802, 'N', 300.929, 'W', 92158.0]
[4811.9806, 'N', 300.9292, 'W', 92159.0]
[4811.9811, 'N', 300.9293, 'W', 92200.0]
[4811.9816, 'N', 300.9295, 'W', 92201.0]
[4811.9822, 'N', 300.9298, 'W', 92202.0]
[4811.9827, 'N', 300.93, 'W', 92203.0]
[4811.9833, 'N', 300.9303, 'W', 92204.0]
[4811.9837, 'N', 300.9306, 'W', 92205.0]
[4811.9843, 'N', 300.9309, 'W', 92206.0]
[4811.9849, 'N', 300.9312, 'W', 92207.0]
[4811.9854, 'N', 300.9314, 'W', 92208.0]
[4811.9859, 'N', 300.9317, 'W', 92209.0]
[4811.9863, 'N', 300.9321, 'W', 92210.0]
[4811.9869, 'N', 300.9325, 'W', 92211.0]
[4811.9874, 'N', 300.9328, 'W', 92212.0]
[4811.9879, 'N', 300.9331, 'W', 92213.0]
[4811.9885, 'N', 300.9334, 'W', 92214.0]
[4811.989, 'N', 300.9337, 'W', 92215.0]
[4811.9894, 'N', 300.934, 'W', 92216.0]
[4811.99, 'N', 300.9343, 'W', 92217.0]
[4811.9904, 'N', 300.9346, 'W', 92218.0]
[4811.9909, 'N', 300.9349, 'W', 92219.0]
[4811.9915, 'N', 300.9352, 'W', 92220.0]
[4811.992, 'N', 300.9356, 'W', 92221.0]
[4811.9924, 'N', 300.936, 'W', 92222.0]
[4811.9928, 'N', 300.9365, 'W', 92223.0]
[4811.9934, 'N', 300.9368, 'W', 92224.0]
[4811.9937, 'N', 300.9372, 'W', 92225.0]
[4811.9943, 'N', 300.9377, 'W', 92226.0]
[4811.9948, 'N', 300.938, 'W', 92227.0]
[4811.9952, 'N', 300.9385, 'W', 92228.0]
[4811.9957, 'N', 300.9391, 'W', 92229.0]
[4811.9961, 'N', 300.9394, 'W', 92230.0]
[4811.9966, 'N', 300.9396, 'W', 92231.0]
[4811.9971, 'N', 300.9399, 'W', 92232.0]
[4811.9976, 'N', 300.9402, 'W', 92233.0]
[4811.9981, 'N', 300.9406, 'W', 92234.0]
[4811.9986, 'N', 300.941, 'W', 92235.0]
[4811.9991, 'N', 300.9416, 'W', 92236.0]
[4811.9997, 'N', 300.9419, 'W', 92237.0]
