[4811.9626, 'N', 300.9095, 'W', 91057.0]
[4811.9626, 'N', 300.9095, 'W', 91058.0]
[4811.963, 'N', 300.9092, 'W', 91059.0]
[4811.9635, 'N', 300.9093, 'W', 91100.0]
[4811.964, 'N', 300.9096, 'W', 91101.0]
[4811.9644, 'N', 300.9102, 'W', 91102.0]
[4811.9648, 'N', 300.9107, 'W', 91103.0]
[4811.9653, 'N', 300.9111, 'W', 91104.0]
[4811.9658, 'N', 300.9113, 'W', 91105.0]
[4811.9663, 'N', 300.9114, 'W', 91106.0]
[4811.9667, 'N', 300.9116, 'W', 91107.0]
[4811.9672, 'N', 300.9118, 'W', 91108.0]
[4811.9677, 'N', 300.912, 'W', 91109.0]
[4811.9682, 'N', 300.9122, 'W', 91110.0]
[4811.9687, 'N', 300.9124, 'W', 91111.0]
[4811.9691, 'N', 300.9128, 'W', 91112.0]
[4811.9696, 'N', 300.9131, 'W', 91113.0]
[4811.9701, 'N', 300.9134, 'W', 91114.0]
[4811.9706, 'N', 300.9137, 'W', 91115.0]
[4811.9711, 'N', 300.914, 'W', 91116.0]
[4811.9716, 'N', 300.9143, 'W', 91117.0]
[4811.9721, 'N', 300.9147, 'W', 91118.0]
[4811.9725, 'N', 300.9151, 'W', 91119.0]
[4811.973, 'N', 300.9153, 'W', 91120.0]
[4811.9735, 'N', 300.9155, 'W', 91121.0]
[4811.974, 'N', 300.9158, 'W', 91122.0]
[4811.9745, 'N', 300.916, 'W', 91123.0]
[4811.975, 'N', 300.9162, 'W', 91124.0]
[4811.9756, 'N', 300.9164, 'W', 91125.0]
[4811.9761, 'N', 300.9166, 'W', 91126.0]
[4811.9766, 'N', 300.9169, 'W', 91127.0]
[4811.9771, 'N', 300.9171, 'W', 91128.0]
[4811.9775, 'N', 300.9174, 'W', 91129.0]
[4811.978, 'N', 300.9177, 'W', 91130.0]
[4811.9785, 'N', 300.918, 'W', 91131.0]
[4811.979, 'N', 300.9183, 'W', 91132.0]
[4811.9796, 'N', 300.9186, 'W', 91133.0]
[4811.9801, 'N', 300.9188, 'W', 91134.0]
[4811.9806, 'N', 300.9191, 'W', 91135.0]
[4811.9811, 'N', 300.9194, 'W', 91136.0]
[4811.9816, 'N', 300.9197, 'W', 91137.0]
[4811.9821, 'N', 300.92, 'W', 91138.0]
[4811.9826, 'N', 300.9203, 'W', 91139.0]
[4811.9831, 'N', 300.9206, 'W', 91140.0]
[4811.9836, 'N', 300.9209, 'W', 91141.0]
[4811.984, 'N', 300.9213, 'W', 91142.0]
[4811.9845, 'N', 300.9216, 'W', 91143.0]
[4811.985, 'N', 300.9219, 'W', 91144.0]
[4811.9855, 'N', 300.9222, 'W', 91145.0]
[4811.986, 'N', 300.9224, 'W', 91146.0]
[4811.9865, 'N', 300.9227, 'W', 91147.0]
[4811.987, 'N', 300.923, 'W', 91148.0]
[4811.9875, 'N', 300.9233, 'W', 91149.0]
[4811.988, 'N', 300.9236, 'W', 91150.0]
[4811.9885, 'N', 300.924, 'W', 91151.0]
[4811.989, 'N', 300.9243, 'W', 91152.0]
[4811.9895, 'N', 300.9245, 'W', 91153.0]
[4811.99, 'N', 300.9247, 'W', 91154.0]
[4811.9906, 'N', 300.925, 'W', 91155.0]
[4811.9911, 'N', 300.9253, 'W', 91156.0]
[4811.9916, 'N', 300.9256, 'W', 91157.0]
[4811.9921, 'N', 300.9258, 'W', 91158.0]
[4811.9926, 'N', 300.9262, 'W', 91159.0]
[4811.9931, 'N', 300.9264, 'W', 91200.0]
[4811.9936, 'N', 300.9267, 'W', 91201.0]
[4811.9942, 'N', 300.927, 'W', 91202.0]
[4811.9947, 'N', 300.9274, 'W', 91203.0]
[4811.9952, 'N', 300.9277, 'W', 91204.0]
[4811.9957, 'N', 300.9279, 'W', 91205.0]
[4811.9962, 'N', 300.9282, 'W', 91206.0]
[4811.9967, 'N', 300.9285, 'W', 91207.0]
[4811.9972, 'N', 300.9287, 'W', 91208.0]
[4811.9977, 'N', 300.9291, 'W', 91209.0]
[4811.9982, 'N', 300.9294, 'W', 91210.0]
[4811.9987, 'N', 300.9297, 'W', 91211.0]
[4811.9993, 'N', 300.93, 'W', 91212.0]
[4811.9998, 'N', 300.9303, 'W', 91213.0]
[4812.0003, 'N', 300.9306, 'W', 91214.0]
[4812.0008, 'N', 300.9309, 'W', 91215.0]
[4812.0014, 'N', 300.9312, 'W', 91216.0]
[4812.0019, 'N', 300.9315, 'W', 91217.0]
[4812.0024, 'N', 300.9317, 'W', 91218.0]
[4812.0029, 'N', 300.9321, 'W', 91219.0]
[4812.0034, 'N', 300.9324, 'W', 91220.0]
[4812.0039, 'N', 300.9328, 'W', 91221.0]
[4812.0044, 'N', 300.9331, 'W', 91222.0]
[4812.0049, 'N', 300.9334, 'W', 91223.0]
[4812.0055, 'N', 300.9337, 'W', 91224.0]
[4812.006, 'N', 300.934, 'W', 91225.0]
[4812.0065, 'N', 300.9343, 'W', 91226.0]
[4812.0073, 'N', 300.935, 'W', 91228.0]
[4812.0074, 'N', 300.9352, 'W', 91229.0]
[4812.0075, 'N', 300.9352, 'W', 91230.0]
[4812.0075, 'N', 300.9353, 'W', 91231.0]
[4812.0075, 'N', 300.9353, 'W', 91232.0]
[4812.0076, 'N', 300.9353, 'W', 91233.0]
[4812.0076, 'N', 300.9354, 'W', 91234.0]
[4812.0076, 'N', 300.9354, 'W', 91235.0]
[4812.0077, 'N', 300.9354, 'W', 91236.0]
[4812.0077, 'N', 300.9355, 'W', 91237.0]
[4812.0077, 'N', 300.9355, 'W', 91238.0]
[4812.0077, 'N', 300.9355, 'W', 91239.0]
[4812.0078, 'N', 300.9356, 'W', 91240.0]
[4812.0077, 'N', 300.9361, 'W', 91241.0]
[4812.0072, 'N', 300.9367, 'W', 91242.0]
[4812.0066, 'N', 300.9368, 'W', 91243.0]
[4812.006, 'N', 300.9365, 'W', 91244.0]
[4812.0054, 'N', 300.9361, 'W', 91245.0]
[4812.0048, 'N', 300.9358, 'W', 91246.0]
[4812.0043, 'N', 300.9353, 'W', 91247.0]
[4812.0038, 'N', 300.935, 'W', 91248.0]
[4812.0032, 'N', 300.9347, 'W', 91249.0]
[4812.0027, 'N', 300.9345, 'W', 91250.0]
[4812.0023, 'N', 300.9343, 'W', 91251.0]
[4812.0018, 'N', 300.9342, 'W', 91252.0]
[4812.0013, 'N', 300.934, 'W', 91253.0]
[4812.0008, 'N', 300.9338, 'W', 91254.0]
[4812.0003, 'N', 300.9336, 'W', 91255.0]
[4811.9998, 'N', 300.9334, 'W', 91256.0]
[4811.9993, 'N', 300.9332, 'W', 91257.0]
[4811.9988, 'N', 300.933, 'W', 91258.0]
[4811.9982, 'N', 300.9328, 'W', 91259.0]
[4811.9972, 'N', 300.9324, 'W', 91301.0]
[4811.9967, 'N', 300.9322, 'W', 91302.0]
[4811.9962, 'N', 300.932, 'W', 91303.0]
