[4811.9529, 'N', 300.9174, 'W', 90045.0]
[4811.9529, 'N', 300.9174, 'W', 90046.0]
[4811.9534, 'N', 300.9171, 'W', 90047.0]
[4811.954, 'N', 300.9173, 'W', 90048.0]
[4811.9546, 'N', 300.9178, 'W', 90049.0]
[4811.9551, 'N', 300.9181, 'W', 90050.0]
[4811.9556, 'N', 300.9187, 'W', 90051.0]
[4811.9562, 'N', 300.9191, 'W', 90052.0]
[4811.9568, 'N', 300.9195, 'W', 90053.0]
[4811.9572, 'N', 300.9201, 'W', 90054.0]
[4811.9577, 'N', 300.9208, 'W', 90055.0]
[4811.9581, 'N', 300.9214, 'W', 90056.0]
[4811.9587, 'N', 300.9211, 'W', 90057.0]
[4811.9594, 'N', 300.9209, 'W', 90058.0]
[4811.9599, 'N', 300.9212, 'W', 90059.0]
[4811.9606, 'N', 300.9213, 'W', 90100.0]
[4811.9611, 'N', 300.9216, 'W', 90101.0]
[4811.9616, 'N', 300.9218, 'W', 90102.0]
[4811.9621, 'N', 300.922, 'W', 90103.0]
[4811.9627, 'N', 300.9223, 'W', 90104.0]
[4811.9633, 'N', 300.9225, 'W', 90105.0]
[4811.9638, 'N', 300.9228, 'W', 90106.0]
[4811.9644, 'N', 300.923, 'W', 90107.0]
[4811.965, 'N', 300.9232, 'W', 90108.0]
[4811.9655, 'N', 300.9231, 'W', 90109.0]
[4811.9662, 'N', 300.9231, 'W', 90110.0]
[4811.9667, 'N', 300.9232, 'W', 90111.0]
[4811.9673, 'N', 300.9235, 'W', 90112.0]
[4811.9679, 'N', 300.9237, 'W', 90113.0]
[4811.9683, 'N', 300.9239, 'W', 90114.0]
[4811.969, 'N', 300.9241, 'W', 90115.0]
[4811.9696, 'N', 300.9243, 'W', 90116.0]
[4811.9701, 'N', 300.9246, 'W', 90117.0]
[4811.9706, 'N', 300.9249, 'W', 90118.0]
[4811.9711, 'N', 300.9252, 'W', 90119.0]
[4811.9716, 'N', 300.9255, 'W', 90120.0]
[4811.9721, 'N', 300.9257, 'W', 90121.0]
[4811.9727, 'N', 300.9259, 'W', 90122.0]
[4811.9733, 'N', 300.9261, 'W', 90123.0]
[4811.9739, 'N', 300.9261, 'W', 90124.0]
[4811.9745, 'N', 300.9263, 'W', 90125.0]
[4811.975, 'N', 300.9266, 'W', 90126.0]
[4811.9756, 'N', 300.9269, 'W', 90127.0]
[4811.9762, 'N', 300.9271, 'W', 90128.0]
[4811.9768, 'N', 300.9273, 'W', 90129.0]
[4811.9774, 'N', 300.9275, 'W', 90130.0]
[4811.9779, 'N', 300.9278, 'W', 90131.0]
[4811.9785, 'N', 300.928, 'W', 90132.0]
[4811.979, 'N', 300.9282, 'W', 90133.0]
[4811.9796, 'N', 300.9283, 'W', 90134.0]
[4811.9802, 'N', 300.9285, 'W', 90135.0]
[4811.9808, 'N', 300.9288, 'W', 90136.0]
[4811.9814, 'N', 300.929, 'W', 90137.0]
[4811.9819, 'N', 300.9292, 'W', 90138.0]
[4811.9825, 'N', 300.9294, 'W', 90139.0]
[4811.983, 'N', 300.9296, 'W', 90140.0]
[4811.9836, 'N', 300.9299, 'W', 90141.0]
[4811.9841, 'N', 300.9301, 'W', 90142.0]
[4811.9847, 'N', 300.9304, 'W', 90143.0]
[4811.9852, 'N', 300.9307, 'W', 90144.0]
[4811.9858, 'N', 300.9308, 'W', 90145.0]
[4811.9863, 'N', 300.931, 'W', 90146.0]
[4811.9869, 'N', 300.9313, 'W', 90147.0]
[4811.9874, 'N', 300.9315, 'W', 90148.0]
[4811.9879, 'N', 300.9318, 'W', 90149.0]
[4811.9885, 'N', 300.9322, 'W', 90150.0]
[4811.989, 'N', 300.9324, 'W', 90151.0]
[4811.9895, 'N', 300.9327, 'W', 90152.0]
[4811.9901, 'N', 300.9328, 'W', 90153.0]
[4811.9906, 'N', 300.9331, 'W', 90154.0]
[4811.9912, 'N', 300.9334, 'W', 90155.0]
[4811.9917, 'N', 300.9337, 'W', 90156.0]
[4811.9923, 'N', 300.9339, 'W', 90157.0]
[4811.9928, 'N', 300.9341, 'W', 90158.0]
[4811.9934, 'N', 300.9342, 'W', 90159.0]
[4811.994, 'N', 300.9344, 'W', 90200.0]
[4811.9946, 'N', 300.9346, 'W', 90201.0]
[4811.9951, 'N', 300.9349, 'W', 90202.0]
[4811.9957, 'N', 300.9351, 'W', 90203.0]
[4811.9962, 'N', 300.9353, 'W', 90204.0]
[4811.9968, 'N', 300.9356, 'W', 90205.0]
[4811.9973, 'N', 300.9358, 'W', 90206.0]
[4811.9979, 'N', 300.936, 'W', 90207.0]
[4811.9984, 'N', 300.9362, 'W', 90208.0]
[4811.999, 'N', 300.9365, 'W', 90209.0]
[4811.9995, 'N', 300.9367, 'W', 90210.0]
[4812.0001, 'N', 300.9369, 'W', 90211.0]
[4812.0006, 'N', 300.9371, 'W', 90212.0]
[4812.0011, 'N', 300.9374, 'W', 90213.0]
[4812.0017, 'N', 300.9376, 'W', 90214.0]
[4812.0022, 'N', 300.9379, 'W', 90215.0]
[4812.0028, 'N', 300.9381, 'W', 90216.0]
[4812.0039, 'N', 300.9386, 'W', 90218.0]
[4812.0042, 'N', 300.9387, 'W', 90219.0]
[4812.0043, 'N', 300.9387, 'W', 90220.0]
[4812.0045, 'N', 300.9387, 'W', 90221.0]
[4812.0045, 'N', 300.9387, 'W', 90222.0]
[4812.0046, 'N', 300.9387, 'W', 90223.0]
[4812.0047, 'N', 300.9388, 'W', 90224.0]
[4812.0047, 'N', 300.9388, 'W', 90225.0]
[4812.0048, 'N', 300.9388, 'W', 90226.0]
[4812.0048, 'N', 300.9388, 'W', 90227.0]
[4812.0049, 'N', 300.9389, 'W', 90228.0]
[4812.0049, 'N', 300.9389, 'W', 90229.0]
[4812.0051, 'N', 300.9389, 'W', 90230.0]
[4812.0055, 'N', 300.9382, 'W', 90231.0]
[4812.0056, 'N', 300.9371, 'W', 90232.0]
[4812.0053, 'N', 300.9362, 'W', 90233.0]
[4812.0048, 'N', 300.9356, 'W', 90234.0]
[4812.0043, 'N', 300.9352, 'W', 90235.0]
[4812.0037, 'N', 300.9348, 'W', 90236.0]
[4812.0032, 'N', 300.9345, 'W', 90237.0]
[4812.0026, 'N', 300.9341, 'W', 90238.0]
[4812.002, 'N', 300.9338, 'W', 90239.0]
[4812.0015, 'N', 300.9335, 'W', 90240.0]
[4812.0009, 'N', 300.9332, 'W', 90241.0]
[4812.0004, 'N', 300.9329, 'W', 90242.0]
[4811.9999, 'N', 300.9326, 'W', 90243.0]
[4811.9994, 'N', 300.9323, 'W', 90244.0]
[4811.9988, 'N', 300.932, 'W', 90245.0]
[4811.9978, 'N', 300.9315, 'W', 90247.0]
[4811.9973, 'N', 300.9312, 'W', 90248.0]
[4811.9968, 'N', 300.9309, 'W', 90249.0]
[4811.9963, 'N', 300.9307, 'W', 90250.0]
[4811.9957, 'N', 300.9305, 'W', 90251.0]
[4811.9952, 'N', 300.9303, 'W', 90252.0]
[4811.9947, 'N', 300.9301, 'W', 90253.0]
[4811.9942, 'N', 300.9298, 'W', 90254.0]
[4811.9936, 'N', 300.9296, 'W', 90255.0]
[4811.9932, 'N', 300.9294, 'W', 90256.0]
[4811.9929, 'N', 300.9293, 'W', 90257.0]
[4811.9927, 'N', 300.9292, 'W', 90258.0]
[4811.9926, 'N', 300.9292, 'W', 90259.0]
[4811.9925, 'N', 300.9291, 'W', 90300.0]
[4811.9925, 'N', 300.9291, 'W', 90301.0]
[4811.9924, 'N', 300.9291, 'W', 90302.0]
[4811.9923, 'N', 300.9291, 'W', 90303.0]
[4811.9923, 'N', 300.9291, 'W', 90304.0]
[4811.9922, 'N', 300.9291, 'W', 90305.0]
[4811.9921, 'N', 300.929, 'W', 90306.0]
[4811.992, 'N', 300.929, 'W', 90307.0]
[4811.9914, 'N', 300.9288, 'W', 90308.0]
[4811.9907, 'N', 300.9286, 'W', 90309.0]
[4811.99, 'N', 300.9283, 'W', 90310.0]
[4811.9892, 'N', 300.9281, 'W', 90311.0]
[4811.9885, 'N', 300.9278, 'W', 90312.0]
[4811.9878, 'N', 300.9276, 'W', 90313.0]
[4811.987, 'N', 300.9273, 'W', 90314.0]
[4811.9863, 'N', 300.927, 'W', 90315.0]
[4811.9857, 'N', 300.9268, 'W', 90316.0]
[4811.985, 'N', 300.9265, 'W', 90317.0]
[4811.9844, 'N', 300.9262, 'W', 90318.0]
[4811.9837, 'N', 300.9259, 'W', 90319.0]
[4811.9831, 'N', 300.9257, 'W', 90320.0]
