[4811.9603, 'N', 300.9142, 'W', 90717.0]
[4811.9603, 'N', 300.9142, 'W', 90718.0]
[4811.9601, 'N', 300.9132, 'W', 90719.0]
[4811.9602, 'N', 300.9119, 'W', 90720.0]
[4811.9606, 'N', 300.9112, 'W', 90721.0]
[4811.961, 'N', 300.9114, 'W', 90722.0]
[4811.9616, 'N', 300.9124, 'W', 90723.0]
[4811.9622, 'N', 300.9135, 'W', 90724.0]
[4811.9627, 'N', 300.9146, 'W', 90725.0]
[4811.9631, 'N', 300.9159, 'W', 90726.0]
[4811.9636, 'N', 300.917, 'W', 90727.0]
[4811.9641, 'N', 300.9181, 'W', 90728.0]
[4811.9645, 'N', 300.9189, 'W', 90729.0]
[4811.965, 'N', 300.9194, 'W', 90730.0]
[4811.9655, 'N', 300.92, 'W', 90731.0]
[4811.966, 'N', 300.9206, 'W', 90732.0]
[4811.9665, 'N', 300.921, 'W', 90733.0]
[4811.9671, 'N', 300.9212, 'W', 90734.0]
[4811.9677, 'N', 300.9212, 'W', 90735.0]
[4811.9683, 'N', 300.9214, 'W', 90736.0]
[4811.969, 'N', 300.9215, 'W', 90737.0]
[4811.9695, 'N', 300.9218, 'W', 90738.0]
[4811.9702, 'N', 300.9219, 'W', 90739.0]
[4811.9709, 'N', 300.9218, 'W', 90740.0]
[4811.9715, 'N', 300.9218, 'W', 90741.0]
[4811.9722, 'N', 300.9217, 'W', 90742.0]
