[4812.0009, 'N', 300.9614, 'W', 93037.0]
[4812.0009, 'N', 300.9619, 'W', 93038.0]
[4812.0011, 'N', 300.9627, 'W', 93039.0]
[4812.0016, 'N', 300.9631, 'W', 93040.0]
[4812.0021, 'N', 300.9632, 'W', 93041.0]
[4812.0024, 'N', 300.9625, 'W', 93042.0]
[4812.0025, 'N', 300.9615, 'W', 93043.0]
[4812.0025, 'N', 300.9603, 'W', 93044.0]
[4812.0024, 'N', 300.9594, 'W', 93045.0]
[4812.0022, 'N', 300.9588, 'W', 93046.0]
[4812.0021, 'N', 300.9582, 'W', 93047.0]
[4812.0018, 'N', 300.9575, 'W', 93048.0]
[4812.0012, 'N', 300.9566, 'W', 93049.0]
[4812.0006, 'N', 300.956, 'W', 93050.0]
[4812.0, 'N', 300.9555, 'W', 93051.0]
[4811.9993, 'N', 300.9551, 'W', 93052.0]
[4811.9985, 'N', 300.9547, 'W', 93053.0]
[4811.9978, 'N', 300.9541, 'W', 93054.0]
[4811.9972, 'N', 300.9535, 'W', 93055.0]
[4811.9965, 'N', 300.9531, 'W', 93056.0]
[4811.9959, 'N', 300.9527, 'W', 93057.0]
[4811.9952, 'N', 300.9522, 'W', 93058.0]
[4811.9946, 'N', 300.9519, 'W', 93059.0]
[4811.994, 'N', 300.9515, 'W', 93100.0]
[4811.9935, 'N', 300.951, 'W', 93101.0]
[4811.9929, 'N', 300.9505, 'W', 93102.0]
[4811.9924, 'N', 300.95, 'W', 93103.0]
[4811.9918, 'N', 300.9497, 'W', 93104.0]
[4811.9912, 'N', 300.9491, 'W', 93105.0]
[4811.9908, 'N', 300.9487, 'W', 93106.0]
[4811.9902, 'N', 300.9482, 'W', 93107.0]
[4811.9897, 'N', 300.9476, 'W', 93108.0]
[4811.9892, 'N', 300.947, 'W', 93109.0]
[4811.9887, 'N', 300.9464, 'W', 93110.0]
[4811.9883, 'N', 300.9456, 'W', 93111.0]
[4811.988, 'N', 300.945, 'W', 93112.0]
[4811.9876, 'N', 300.9443, 'W', 93113.0]
[4811.9872, 'N', 300.9437, 'W', 93114.0]
[4811.9867, 'N', 300.9432, 'W', 93115.0]
[4811.9861, 'N', 300.9429, 'W', 93116.0]
[4811.9856, 'N', 300.9424, 'W', 93117.0]
[4811.9851, 'N', 300.9419, 'W', 93118.0]
[4811.9845, 'N', 300.9414, 'W', 93119.0]
[4811.984, 'N', 300.9409, 'W', 93120.0]
[4811.9835, 'N', 300.9405, 'W', 93121.0]
[4811.983, 'N', 300.94, 'W', 93122.0]
[4811.9825, 'N', 300.9396, 'W', 93123.0]
[4811.982, 'N', 300.9393, 'W', 93124.0]
[4811.9815, 'N', 300.9388, 'W', 93125.0]
[4811.9812, 'N', 300.9382, 'W', 93126.0]
[4811.9807, 'N', 300.9377, 'W', 93127.0]
[4811.9803, 'N', 300.9371, 'W', 93128.0]
[4811.9799, 'N', 300.9365, 'W', 93129.0]
[4811.9795, 'N', 300.9358, 'W', 93130.0]
[4811.9791, 'N', 300.9351, 'W', 93131.0]
[4811.9788, 'N', 300.9343, 'W', 93132.0]
[4811.9784, 'N', 300.9338, 'W', 93133.0]
[4811.9779, 'N', 300.9334, 'W', 93134.0]
[4811.9774, 'N', 300.933, 'W', 93135.0]
[4811.977, 'N', 300.9324, 'W', 93136.0]
[4811.9766, 'N', 300.9317, 'W', 93137.0]
[4811.9763, 'N', 300.9311, 'W', 93138.0]
[4811.9759, 'N', 300.9305, 'W', 93139.0]
[4811.9755, 'N', 300.9299, 'W', 93140.0]
[4811.9752, 'N', 300.9292, 'W', 93141.0]
[4811.9748, 'N', 300.9285, 'W', 93142.0]
[4811.9745, 'N', 300.9278, 'W', 93143.0]
[4811.9742, 'N', 300.927, 'W', 93144.0]
[4811.9739, 'N', 300.9263, 'W', 93145.0]
[4811.9736, 'N', 300.9256, 'W', 93146.0]
[4811.9733, 'N', 300.9249, 'W', 93147.0]
[4811.9731, 'N', 300.9242, 'W', 93148.0]
[4811.973, 'N', 300.9233, 'W', 93149.0]
[4811.9729, 'N', 300.9224, 'W', 93150.0]
