[4811.978, 'N', 300.9428, 'W', 92948.0]
[4811.9779, 'N', 300.9428, 'W', 92949.0]
[4811.9777, 'N', 300.942, 'W', 92950.0]
[4811.978, 'N', 300.9408, 'W', 92951.0]
[4811.9786, 'N', 300.9404, 'W', 92952.0]
[4811.9794, 'N', 300.9408, 'W', 92953.0]
[4811.9801, 'N', 300.9414, 'W', 92954.0]
[4811.9807, 'N', 300.9422, 'W', 92955.0]
[4811.9814, 'N', 300.9428, 'W', 92956.0]
[4811.982, 'N', 300.9434, 'W', 92957.0]
[4811.9823, 'N', 300.9441, 'W', 92958.0]
[4811.9827, 'N', 300.9449, 'W', 92959.0]
[4811.9833, 'N', 300.9457, 'W', 93000.0]
[4811.984, 'N', 300.9462, 'W', 93001.0]
[4811.9847, 'N', 300.9467, 'W', 93002.0]
[4811.9852, 'N', 300.9471, 'W', 93003.0]
[4811.9858, 'N', 300.9481, 'W', 93004.0]
[4811.9861, 'N', 300.9487, 'W', 93005.0]
[4811.9866, 'N', 300.9492, 'W', 93006.0]
[4811.9872, 'N', 300.9497, 'W', 93007.0]
[4811.9879, 'N', 300.9502, 'W', 93008.0]
[4811.9884, 'N', 300.9507, 'W', 93009.0]
[4811.9888, 'N', 300.9514, 'W', 93010.0]
[4811.9894, 'N', 300.952, 'W', 93011.0]
[4811.9899, 'N', 300.9523, 'W', 93012.0]
[4811.9906, 'N', 300.9527, 'W', 93013.0]
[4811.9913, 'N', 300.9531, 'W', 93014.0]
[4811.9917, 'N', 300.9534, 'W', 93015.0]
[4811.9923, 'N', 300.9537, 'W', 93016.0]
[4811.9929, 'N', 300.9541, 'W', 93017.0]
[4811.9933, 'N', 300.9544, 'W', 93018.0]
[4811.9937, 'N', 300.955, 'W', 93019.0]
[4811.9941, 'N', 300.9556, 'W', 93020.0]
[4811.9944, 'N', 300.9562, 'W', 93021.0]
[4811.9947, 'N', 300.9569, 'W', 93022.0]
[4811.9952, 'N', 300.9572, 'W', 93023.0]
[4811.9957, 'N', 300.9576, 'W', 93024.0]
[4811.9962, 'N', 300.9578, 'W', 93025.0]
[4811.9967, 'N', 300.9581, 'W', 93026.0]
[4811.9972, 'N', 300.9584, 'W', 93027.0]
[4811.9977, 'N', 300.9587, 'W', 93028.0]
[4811.9983, 'N', 300.9592, 'W', 93029.0]
[4811.9987, 'N', 300.9598, 'W', 93030.0]
[4811.9993, 'N', 300.9602, 'W', 93031.0]
