[4811.9701, 'N', 300.9153, 'W', 93305.0]
[4811.9701, 'N', 300.9152, 'W', 93306.0]
[4811.9697, 'N', 300.9147, 'W', 93307.0]
[4811.9692, 'N', 300.914, 'W', 93308.0]
[4811.9689, 'N', 300.9132, 'W', 93309.0]
[4811.9686, 'N', 300.9123, 'W', 93310.0]
[4811.9682, 'N', 300.9115, 'W', 93311.0]
[4811.9679, 'N', 300.9107, 'W', 93312.0]
[4811.9676, 'N', 300.91, 'W', 93313.0]
[4811.9672, 'N', 300.9093, 'W', 93314.0]
[4811.967, 'N', 300.9086, 'W', 93315.0]
[4811.9667, 'N', 300.9079, 'W', 93316.0]
[4811.9664, 'N', 300.9072, 'W', 93317.0]
[4811.9661, 'N', 300.9065, 'W', 93318.0]
[4811.9658, 'N', 300.9058, 'W', 93319.0]
[4811.9655, 'N', 300.9052, 'W', 93320.0]
[4811.9653, 'N', 300.9044, 'W', 93321.0]
[4811.965, 'N', 300.9038, 'W', 93322.0]
[4811.9646, 'N', 300.9032, 'W', 93323.0]
[4811.9643, 'N', 300.9026, 'W', 93324.0]
[4811.9639, 'N', 300.902, 'W', 93325.0]
[4811.9635, 'N', 300.9014, 'W', 93326.0]
[4811.9632, 'N', 300.9008, 'W', 93327.0]
[4811.9629, 'N', 300.9002, 'W', 93328.0]
[4811.9626, 'N', 300.8996, 'W', 93329.0]
[4811.9622, 'N', 300.8989, 'W', 93330.0]
[4811.9619, 'N', 300.8982, 'W', 93331.0]
[4811.9616, 'N', 300.8976, 'W', 93332.0]
[4811.9612, 'N', 300.8969, 'W', 93333.0]
[4811.9609, 'N', 300.8962, 'W', 93334.0]
[4811.9605, 'N', 300.8957, 'W', 93335.0]
[4811.9602, 'N', 300.895, 'W', 93336.0]
[4811.9598, 'N', 300.8945, 'W', 93337.0]
[4811.9593, 'N', 300.894, 'W', 93338.0]
[4811.9589, 'N', 300.8935, 'W', 93339.0]
[4811.9585, 'N', 300.893, 'W', 93340.0]
[4811.9582, 'N', 300.8924, 'W', 93341.0]
[4811.9579, 'N', 300.8918, 'W', 93342.0]
[4811.9575, 'N', 300.8913, 'W', 93343.0]
[4811.9572, 'N', 300.8907, 'W', 93344.0]
[4811.9568, 'N', 300.8902, 'W', 93345.0]
[4811.9564, 'N', 300.8897, 'W', 93346.0]
[4811.956, 'N', 300.8891, 'W', 93347.0]
[4811.9556, 'N', 300.8886, 'W', 93348.0]
[4811.9552, 'N', 300.888, 'W', 93349.0]
[4811.9549, 'N', 300.8874, 'W', 93350.0]
[4811.9546, 'N', 300.8868, 'W', 93351.0]
[4811.9543, 'N', 300.8862, 'W', 93352.0]
