[4811.9595, 'N', 300.9078, 'W', 163602.0]
[4811.9595, 'N', 300.9078, 'W', 163603.0]
[4811.9594, 'N', 300.9078, 'W', 163604.0]
[4811.9587, 'N', 300.9082, 'W', 163605.0]
[4811.9582, 'N', 300.9091, 'W', 163606.0]
[4811.958, 'N', 300.91, 'W', 163607.0]
[4811.9582, 'N', 300.9108, 'W', 163608.0]
[4811.9586, 'N', 300.9116, 'W', 163609.0]
[4811.9591, 'N', 300.9124, 'W', 163610.0]
[4811.9599, 'N', 300.9131, 'W', 163611.0]
[4811.9607, 'N', 300.9137, 'W', 163612.0]
[4811.9615, 'N', 300.9141, 'W', 163613.0]
[4811.9623, 'N', 300.9148, 'W', 163614.0]
[4811.963, 'N', 300.9158, 'W', 163615.0]
[4811.9637, 'N', 300.9165, 'W', 163616.0]
[4811.9644, 'N', 300.9171, 'W', 163617.0]
[4811.9652, 'N', 300.9175, 'W', 163618.0]
[4811.966, 'N', 300.9179, 'W', 163619.0]
[4811.9666, 'N', 300.9183, 'W', 163620.0]
[4811.9672, 'N', 300.9189, 'W', 163621.0]
[4811.9679, 'N', 300.9195, 'W', 163622.0]
[4811.9687, 'N', 300.9199, 'W', 163623.0]
[4811.9695, 'N', 300.9205, 'W', 163624.0]
[4811.9702, 'N', 300.9209, 'W', 163625.0]
[4811.9712, 'N', 300.9208, 'W', 163626.0]
[4811.9722, 'N', 300.9205, 'W', 163627.0]
[4811.9731, 'N', 300.9202, 'W', 163628.0]
[4811.974, 'N', 300.92, 'W', 163629.0]
[4811.975, 'N', 300.9198, 'W', 163630.0]
[4811.9757, 'N', 300.9194, 'W', 163631.0]
[4811.9764, 'N', 300.9194, 'W', 163632.0]
[4811.977, 'N', 300.9196, 'W', 163633.0]
[4811.9777, 'N', 300.9199, 'W', 163634.0]
[4811.9785, 'N', 300.9198, 'W', 163635.0]
[4811.9793, 'N', 300.9195, 'W', 163636.0]
[4811.98, 'N', 300.9191, 'W', 163637.0]
[4811.9806, 'N', 300.9188, 'W', 163638.0]
[4811.9812, 'N', 300.9183, 'W', 163639.0]
[4811.9818, 'N', 300.9178, 'W', 163640.0]
[4811.9825, 'N', 300.9176, 'W', 163641.0]
[4811.9831, 'N', 300.9176, 'W', 163642.0]
[4811.9836, 'N', 300.9176, 'W', 163643.0]
[4811.9842, 'N', 300.9177, 'W', 163644.0]
[4811.9847, 'N', 300.9177, 'W', 163645.0]
[4811.9853, 'N', 300.9179, 'W', 163646.0]
[4811.9858, 'N', 300.9179, 'W', 163647.0]
[4811.9863, 'N', 300.9179, 'W', 163648.0]
[4811.9868, 'N', 300.9178, 'W', 163649.0]
[4811.9872, 'N', 300.9176, 'W', 163650.0]
[4811.9876, 'N', 300.9176, 'W', 163651.0]
[4811.988, 'N', 300.9174, 'W', 163652.0]
[4811.9884, 'N', 300.9173, 'W', 163653.0]
[4811.9887, 'N', 300.9172, 'W', 163654.0]
[4811.9891, 'N', 300.9169, 'W', 163655.0]
[4811.9894, 'N', 300.9167, 'W', 163656.0]
[4811.9897, 'N', 300.9164, 'W', 163657.0]
[4811.9901, 'N', 300.9162, 'W', 163658.0]
[4811.9904, 'N', 300.9161, 'W', 163659.0]
[4811.9907, 'N', 300.916, 'W', 163700.0]
[4811.9909, 'N', 300.9158, 'W', 163701.0]
[4811.991, 'N', 300.9155, 'W', 163702.0]
[4811.9911, 'N', 300.9152, 'W', 163703.0]
[4811.9913, 'N', 300.915, 'W', 163704.0]
[4811.9914, 'N', 300.9147, 'W', 163705.0]
[4811.9915, 'N', 300.9144, 'W', 163706.0]
[4811.9915, 'N', 300.914, 'W', 163707.0]
[4811.9915, 'N', 300.9136, 'W', 163708.0]
[4811.9917, 'N', 300.9132, 'W', 163709.0]
[4811.9919, 'N', 300.9129, 'W', 163710.0]
[4811.9921, 'N', 300.9127, 'W', 163711.0]
[4811.9922, 'N', 300.9125, 'W', 163712.0]
[4811.9924, 'N', 300.9123, 'W', 163713.0]
[4811.9927, 'N', 300.9123, 'W', 163714.0]
[4811.9928, 'N', 300.9122, 'W', 163715.0]
[4811.993, 'N', 300.9122, 'W', 163716.0]
[4811.9932, 'N', 300.9121, 'W', 163717.0]
[4811.9933, 'N', 300.912, 'W', 163718.0]
[4811.9934, 'N', 300.9119, 'W', 163719.0]
[4811.9936, 'N', 300.9118, 'W', 163720.0]
[4811.9939, 'N', 300.9118, 'W', 163721.0]
[4811.9942, 'N', 300.9117, 'W', 163722.0]
[4811.9945, 'N', 300.9118, 'W', 163723.0]
[4811.9948, 'N', 300.9119, 'W', 163724.0]
[4811.995, 'N', 300.912, 'W', 163725.0]
[4811.9953, 'N', 300.9121, 'W', 163726.0]
[4811.9957, 'N', 300.9122, 'W', 163727.0]
[4811.9962, 'N', 300.9121, 'W', 163728.0]
[4811.9966, 'N', 300.9119, 'W', 163729.0]
[4811.997, 'N', 300.9116, 'W', 163730.0]
[4811.9975, 'N', 300.9113, 'W', 163731.0]
[4811.998, 'N', 300.911, 'W', 163732.0]
[4811.9985, 'N', 300.9104, 'W', 163733.0]
[4811.9989, 'N', 300.9098, 'W', 163734.0]
[4811.9994, 'N', 300.9092, 'W', 163735.0]
[4811.9999, 'N', 300.9088, 'W', 163736.0]
[4812.0005, 'N', 300.9085, 'W', 163737.0]
[4812.0011, 'N', 300.9084, 'W', 163738.0]
[4812.0018, 'N', 300.9084, 'W', 163739.0]
[4812.0026, 'N', 300.9083, 'W', 163740.0]
[4812.0032, 'N', 300.9085, 'W', 163741.0]
