[4811.9798, 'N', 300.9152, 'W', 164614.0]
[4811.9797, 'N', 300.9152, 'W', 164615.0]
[4811.9797, 'N', 300.9152, 'W', 164616.0]
[4811.9789, 'N', 300.9147, 'W', 164617.0]
[4811.978, 'N', 300.9144, 'W', 164618.0]
[4811.9769, 'N', 300.9145, 'W', 164619.0]
[4811.9758, 'N', 300.9144, 'W', 164620.0]
[4811.9748, 'N', 300.9149, 'W', 164621.0]
[4811.9738, 'N', 300.9152, 'W', 164622.0]
[4811.9727, 'N', 300.9157, 'W', 164623.0]
[4811.9719, 'N', 300.9164, 'W', 164624.0]
[4811.9717, 'N', 300.9181, 'W', 164625.0]
[4811.9716, 'N', 300.9198, 'W', 164626.0]
[4811.9716, 'N', 300.9212, 'W', 164627.0]
[4811.9719, 'N', 300.9225, 'W', 164628.0]
[4811.9721, 'N', 300.9234, 'W', 164629.0]
[4811.9727, 'N', 300.924, 'W', 164630.0]
[4811.9733, 'N', 300.9242, 'W', 164631.0]
[4811.9739, 'N', 300.924, 'W', 164632.0]
[4811.9745, 'N', 300.9238, 'W', 164633.0]
[4811.9749, 'N', 300.9236, 'W', 164634.0]
[4811.9754, 'N', 300.9235, 'W', 164635.0]
[4811.976, 'N', 300.9234, 'W', 164636.0]
[4811.9765, 'N', 300.9234, 'W', 164637.0]
[4811.9771, 'N', 300.9232, 'W', 164638.0]
[4811.9778, 'N', 300.9229, 'W', 164639.0]
[4811.9784, 'N', 300.9222, 'W', 164640.0]
[4811.9788, 'N', 300.9212, 'W', 164641.0]
[4811.9793, 'N', 300.9199, 'W', 164642.0]
[4811.9797, 'N', 300.9186, 'W', 164643.0]
[4811.9799, 'N', 300.9174, 'W', 164644.0]
[4811.9804, 'N', 300.9163, 'W', 164645.0]
[4811.9809, 'N', 300.9151, 'W', 164646.0]
[4811.9816, 'N', 300.9142, 'W', 164647.0]
[4811.9823, 'N', 300.9136, 'W', 164648.0]
[4811.9832, 'N', 300.9131, 'W', 164649.0]
[4811.9841, 'N', 300.9127, 'W', 164650.0]
[4811.9849, 'N', 300.9122, 'W', 164651.0]
[4811.9858, 'N', 300.9115, 'W', 164652.0]
[4811.9866, 'N', 300.9107, 'W', 164653.0]
[4811.9873, 'N', 300.9101, 'W', 164654.0]
[4811.9881, 'N', 300.9094, 'W', 164655.0]
[4811.9889, 'N', 300.9089, 'W', 164656.0]
[4811.9898, 'N', 300.9086, 'W', 164657.0]
[4811.9907, 'N', 300.9085, 'W', 164658.0]
[4811.9915, 'N', 300.9081, 'W', 164659.0]
[4811.9923, 'N', 300.9076, 'W', 164700.0]
[4811.993, 'N', 300.9071, 'W', 164701.0]
[4811.9937, 'N', 300.9065, 'W', 164702.0]
[4811.9944, 'N', 300.9059, 'W', 164703.0]
[4811.9951, 'N', 300.9052, 'W', 164704.0]
[4811.9959, 'N', 300.9051, 'W', 164705.0]
[4811.9966, 'N', 300.9053, 'W', 164706.0]
[4811.9973, 'N', 300.9053, 'W', 164707.0]
[4811.998, 'N', 300.9049, 'W', 164708.0]
[4811.9987, 'N', 300.9044, 'W', 164709.0]
[4811.9993, 'N', 300.9044, 'W', 164710.0]
[4811.9999, 'N', 300.9047, 'W', 164711.0]
[4812.0005, 'N', 300.9049, 'W', 164712.0]
[4812.001, 'N', 300.9051, 'W', 164713.0]
[4812.0015, 'N', 300.9051, 'W', 164714.0]
[4812.002, 'N', 300.9052, 'W', 164715.0]
[4812.0025, 'N', 300.9051, 'W', 164716.0]
[4812.0031, 'N', 300.905, 'W', 164717.0]
[4812.0036, 'N', 300.905, 'W', 164718.0]
[4812.004, 'N', 300.9051, 'W', 164719.0]
[4812.0045, 'N', 300.9052, 'W', 164720.0]
[4812.005, 'N', 300.9051, 'W', 164721.0]
