[4811.9627, 'N', 300.9079, 'W', 151409.0]
[4811.9628, 'N', 300.9069, 'W', 151410.0]
[4811.963, 'N', 300.9063, 'W', 151411.0]
[4811.9633, 'N', 300.9058, 'W', 151412.0]
[4811.9639, 'N', 300.9056, 'W', 151413.0]
[4811.9646, 'N', 300.9057, 'W', 151414.0]
[4811.9653, 'N', 300.9059, 'W', 151415.0]
[4811.9659, 'N', 300.9062, 'W', 151416.0]
[4811.9666, 'N', 300.9067, 'W', 151417.0]
[4811.9672, 'N', 300.9074, 'W', 151418.0]
[4811.9677, 'N', 300.9079, 'W', 151419.0]
[4811.9679, 'N', 300.9082, 'W', 151420.0]
[4811.968, 'N', 300.9084, 'W', 151421.0]
[4811.968, 'N', 300.9085, 'W', 151422.0]
[4811.9681, 'N', 300.9086, 'W', 151423.0]
[4811.9681, 'N', 300.9086, 'W', 151424.0]
[4811.9682, 'N', 300.9086, 'W', 151425.0]
[4811.9683, 'N', 300.9086, 'W', 151426.0]
[4811.9685, 'N', 300.9083, 'W', 151427.0]
[4811.9688, 'N', 300.9082, 'W', 151428.0]
[4811.9692, 'N', 300.9084, 'W', 151429.0]
[4811.9696, 'N', 300.909, 'W', 151430.0]
[4811.9701, 'N', 300.9099, 'W', 151431.0]
[4811.9706, 'N', 300.9107, 'W', 151432.0]
[4811.9709, 'N', 300.9115, 'W', 151433.0]
[4811.9713, 'N', 300.9123, 'W', 151434.0]
[4811.9718, 'N', 300.913, 'W', 151435.0]
[4811.9723, 'N', 300.9137, 'W', 151436.0]
[4811.9728, 'N', 300.9144, 'W', 151437.0]
[4811.9732, 'N', 300.9151, 'W', 151438.0]
[4811.9737, 'N', 300.9158, 'W', 151439.0]
[4811.9742, 'N', 300.9165, 'W', 151440.0]
[4811.9745, 'N', 300.9174, 'W', 151441.0]
[4811.9748, 'N', 300.9182, 'W', 151442.0]
[4811.9753, 'N', 300.9187, 'W', 151443.0]
[4811.9758, 'N', 300.9193, 'W', 151444.0]
[4811.9762, 'N', 300.9198, 'W', 151445.0]
[4811.9765, 'N', 300.9205, 'W', 151446.0]
[4811.9767, 'N', 300.9211, 'W', 151447.0]
[4811.9767, 'N', 300.9214, 'W', 151448.0]
[4811.9767, 'N', 300.9216, 'W', 151449.0]
[4811.977, 'N', 300.9219, 'W', 151450.0]
[4811.9774, 'N', 300.9221, 'W', 151451.0]
[4811.9778, 'N', 300.922, 'W', 151452.0]
[4811.9782, 'N', 300.9215, 'W', 151453.0]
[4811.9784, 'N', 300.9206, 'W', 151454.0]
