[4811.9509, 'N', 300.8831, 'W', 84433.0]
[4811.9509, 'N', 300.8831, 'W', 84434.0]
[4811.9509, 'N', 300.8831, 'W', 84435.0]
[4811.951, 'N', 300.8837, 'W', 84436.0]
[4811.951, 'N', 300.8845, 'W', 84437.0]
[4811.9511, 'N', 300.8853, 'W', 84438.0]
[4811.9513, 'N', 300.8861, 'W', 84439.0]
[4811.9514, 'N', 300.8869, 'W', 84440.0]
[4811.9516, 'N', 300.8877, 'W', 84441.0]
[4811.9517, 'N', 300.8884, 'W', 84442.0]
[4811.9518, 'N', 300.8892, 'W', 84443.0]
[4811.9518, 'N', 300.89, 'W', 84444.0]
[4811.952, 'N', 300.8907, 'W', 84445.0]
[4811.952, 'N', 300.8915, 'W', 84446.0]
[4811.9522, 'N', 300.8922, 'W', 84447.0]
[4811.9523, 'N', 300.893, 'W', 84448.0]
