[4812.0072, 'N', 300.9679, 'W', 101645.0]
[4812.0072, 'N', 300.9677, 'W', 101646.0]
[4812.0071, 'N', 300.9672, 'W', 101647.0]
[4812.007, 'N', 300.9668, 'W', 101648.0]
[4812.0068, 'N', 300.9663, 'W', 101649.0]
[4812.0067, 'N', 300.9658, 'W', 101650.0]
[4812.0066, 'N', 300.9652, 'W', 101651.0]
[4812.0063, 'N', 300.9647, 'W', 101652.0]
[4812.006, 'N', 300.9643, 'W', 101653.0]
[4812.0057, 'N', 300.9639, 'W', 101654.0]
[4812.0055, 'N', 300.9636, 'W', 101655.0]
[4812.0053, 'N', 300.9632, 'W', 101656.0]
[4812.005, 'N', 300.9629, 'W', 101657.0]
[4812.0047, 'N', 300.9625, 'W', 101658.0]
[4812.0044, 'N', 300.962, 'W', 101659.0]
[4812.0042, 'N', 300.9615, 'W', 101700.0]
[4812.004, 'N', 300.961, 'W', 101701.0]
[4812.0039, 'N', 300.9605, 'W', 101702.0]
[4812.0038, 'N', 300.9601, 'W', 101703.0]
[4812.0036, 'N', 300.9597, 'W', 101704.0]
[4812.0034, 'N', 300.9593, 'W', 101705.0]
[4812.0032, 'N', 300.9589, 'W', 101706.0]
[4812.003, 'N', 300.9585, 'W', 101707.0]
[4812.0028, 'N', 300.9581, 'W', 101708.0]
[4812.0025, 'N', 300.9577, 'W', 101709.0]
[4812.0022, 'N', 300.9572, 'W', 101710.0]
[4812.002, 'N', 300.9568, 'W', 101711.0]
[4812.0018, 'N', 300.9564, 'W', 101712.0]
[4812.0016, 'N', 300.956, 'W', 101713.0]
[4812.0014, 'N', 300.9555, 'W', 101714.0]
[4812.0012, 'N', 300.9551, 'W', 101715.0]
[4812.001, 'N', 300.9548, 'W', 101716.0]
[4812.0007, 'N', 300.9544, 'W', 101717.0]
[4812.0004, 'N', 300.954, 'W', 101718.0]
[4812.0, 'N', 300.9537, 'W', 101719.0]
[4811.9996, 'N', 300.9534, 'W', 101720.0]
[4811.9992, 'N', 300.953, 'W', 101721.0]
[4811.9989, 'N', 300.9526, 'W', 101722.0]
[4811.9986, 'N', 300.9522, 'W', 101723.0]
[4811.9984, 'N', 300.9519, 'W', 101724.0]
[4811.9982, 'N', 300.9515, 'W', 101725.0]
[4811.9981, 'N', 300.951, 'W', 101726.0]
[4811.998, 'N', 300.9505, 'W', 101727.0]
[4811.9978, 'N', 300.95, 'W', 101728.0]
[4811.9976, 'N', 300.9495, 'W', 101729.0]
[4811.9974, 'N', 300.9491, 'W', 101730.0]
[4811.9971, 'N', 300.9487, 'W', 101731.0]
[4811.9967, 'N', 300.9482, 'W', 101732.0]
[4811.9965, 'N', 300.9478, 'W', 101733.0]
[4811.9962, 'N', 300.9474, 'W', 101734.0]
[4811.9959, 'N', 300.9471, 'W', 101735.0]
[4811.9957, 'N', 300.9467, 'W', 101736.0]
[4811.9954, 'N', 300.9463, 'W', 101737.0]
[4811.9952, 'N', 300.9459, 'W', 101738.0]
[4811.995, 'N', 300.9457, 'W', 101739.0]
[4811.9949, 'N', 300.9454, 'W', 101740.0]
[4811.9949, 'N', 300.9451, 'W', 101741.0]
[4811.9948, 'N', 300.9447, 'W', 101742.0]
[4811.9946, 'N', 300.9442, 'W', 101743.0]
[4811.9943, 'N', 300.9438, 'W', 101744.0]
[4811.994, 'N', 300.9435, 'W', 101745.0]
[4811.9938, 'N', 300.9431, 'W', 101746.0]
[4811.9935, 'N', 300.9429, 'W', 101747.0]
[4811.9932, 'N', 300.9425, 'W', 101748.0]
[4811.9928, 'N', 300.9421, 'W', 101749.0]
[4811.9925, 'N', 300.9417, 'W', 101750.0]
[4811.9922, 'N', 300.9413, 'W', 101751.0]
[4811.9919, 'N', 300.9409, 'W', 101752.0]
[4811.9917, 'N', 300.9404, 'W', 101753.0]
[4811.9914, 'N', 300.9399, 'W', 101754.0]
[4811.9911, 'N', 300.9394, 'W', 101755.0]
[4811.9908, 'N', 300.939, 'W', 101756.0]
[4811.9906, 'N', 300.9386, 'W', 101757.0]
[4811.9905, 'N', 300.9382, 'W', 101758.0]
[4811.9903, 'N', 300.9379, 'W', 101759.0]
[4811.9901, 'N', 300.9374, 'W', 101800.0]
[4811.9898, 'N', 300.937, 'W', 101801.0]
[4811.9895, 'N', 300.9366, 'W', 101802.0]
[4811.9893, 'N', 300.936, 'W', 101803.0]
[4811.9891, 'N', 300.9355, 'W', 101804.0]
[4811.9889, 'N', 300.935, 'W', 101805.0]
[4811.9886, 'N', 300.9347, 'W', 101806.0]
[4811.9883, 'N', 300.9343, 'W', 101807.0]
[4811.988, 'N', 300.9339, 'W', 101808.0]
[4811.9877, 'N', 300.9336, 'W', 101809.0]
[4811.9872, 'N', 300.9334, 'W', 101810.0]
[4811.9868, 'N', 300.9331, 'W', 101811.0]
[4811.9865, 'N', 300.9327, 'W', 101812.0]
[4811.9862, 'N', 300.9323, 'W', 101813.0]
[4811.986, 'N', 300.9319, 'W', 101814.0]
[4811.9856, 'N', 300.9315, 'W', 101815.0]
[4811.9853, 'N', 300.9308, 'W', 101816.0]
[4811.985, 'N', 300.9304, 'W', 101817.0]
[4811.9847, 'N', 300.9299, 'W', 101818.0]
[4811.9843, 'N', 300.9295, 'W', 101819.0]
[4811.984, 'N', 300.9291, 'W', 101820.0]
[4811.9837, 'N', 300.9288, 'W', 101821.0]
[4811.9835, 'N', 300.9286, 'W', 101822.0]
[4811.9832, 'N', 300.9283, 'W', 101823.0]
[4811.9829, 'N', 300.928, 'W', 101824.0]
[4811.9826, 'N', 300.9276, 'W', 101825.0]
[4811.9823, 'N', 300.9272, 'W', 101826.0]
[4811.9819, 'N', 300.9268, 'W', 101827.0]
[4811.9815, 'N', 300.9266, 'W', 101828.0]
[4811.9812, 'N', 300.9263, 'W', 101829.0]
