[4811.9514, 'N', 300.8944, 'W', 85824.0]
[4811.9513, 'N', 300.8944, 'W', 85825.0]
[4811.9513, 'N', 300.8943, 'W', 85826.0]
[4811.9509, 'N', 300.8947, 'W', 85827.0]
[4811.9506, 'N', 300.8954, 'W', 85828.0]
[4811.9505, 'N', 300.8964, 'W', 85829.0]
[4811.9506, 'N', 300.897, 'W', 85830.0]
[4811.951, 'N', 300.8975, 'W', 85831.0]
[4811.9513, 'N', 300.8976, 'W', 85832.0]
[4811.9516, 'N', 300.8973, 'W', 85833.0]
[4811.9519, 'N', 300.8972, 'W', 85834.0]
[4811.9523, 'N', 300.8974, 'W', 85835.0]
[4811.9526, 'N', 300.8977, 'W', 85836.0]
[4811.9529, 'N', 300.8976, 'W', 85837.0]
[4811.9529, 'N', 300.8967, 'W', 85838.0]
[4811.953, 'N', 300.896, 'W', 85839.0]
[4811.9532, 'N', 300.8953, 'W', 85840.0]
[4811.9534, 'N', 300.8946, 'W', 85841.0]
[4811.9538, 'N', 300.8942, 'W', 85842.0]
[4811.9542, 'N', 300.8934, 'W', 85843.0]
[4811.9547, 'N', 300.893, 'W', 85844.0]
[4811.9551, 'N', 300.8923, 'W', 85845.0]
[4811.9556, 'N', 300.8917, 'W', 85846.0]
[4811.9561, 'N', 300.8908, 'W', 85847.0]
