[4811.9505, 'N', 300.8818, 'W', 100853.0]
[4811.9505, 'N', 300.8818, 'W', 100854.0]
[4811.9505, 'N', 300.8818, 'W', 100855.0]
[4811.9505, 'N', 300.8818, 'W', 100856.0]
[4811.9505, 'N', 300.8818, 'W', 100857.0]
[4811.9502, 'N', 300.8828, 'W', 100858.0]
[4811.9499, 'N', 300.8839, 'W', 100859.0]
[4811.9495, 'N', 300.885, 'W', 100900.0]
[4811.9492, 'N', 300.886, 'W', 100901.0]
[4811.9489, 'N', 300.8869, 'W', 100902.0]
[4811.9486, 'N', 300.8877, 'W', 100903.0]
[4811.9487, 'N', 300.8884, 'W', 100904.0]
[4811.9488, 'N', 300.8891, 'W', 100905.0]
[4811.9491, 'N', 300.8898, 'W', 100906.0]
[4811.9497, 'N', 300.89, 'W', 100907.0]
[4811.9502, 'N', 300.8902, 'W', 100908.0]
[4811.9508, 'N', 300.8901, 'W', 100909.0]
[4811.9513, 'N', 300.8901, 'W', 100910.0]
[4811.9518, 'N', 300.8901, 'W', 100911.0]
[4811.9523, 'N', 300.8901, 'W', 100912.0]
[4811.9529, 'N', 300.8901, 'W', 100913.0]
[4811.9534, 'N', 300.8903, 'W', 100914.0]
[4811.9539, 'N', 300.8907, 'W', 100915.0]
[4811.9542, 'N', 300.8912, 'W', 100916.0]
[4811.9547, 'N', 300.8917, 'W', 100917.0]
[4811.955, 'N', 300.8922, 'W', 100918.0]
[4811.9554, 'N', 300.8928, 'W', 100919.0]
[4811.9555, 'N', 300.8935, 'W', 100920.0]
[4811.9553, 'N', 300.8944, 'W', 100921.0]
[4811.9553, 'N', 300.8953, 'W', 100922.0]
[4811.9553, 'N', 300.8961, 'W', 100923.0]
[4811.9554, 'N', 300.8968, 'W', 100924.0]
[4811.9556, 'N', 300.8974, 'W', 100925.0]
[4811.9558, 'N', 300.8981, 'W', 100926.0]
[4811.9561, 'N', 300.8987, 'W', 100927.0]
[4811.9565, 'N', 300.8992, 'W', 100928.0]
[4811.9569, 'N', 300.8995, 'W', 100929.0]
[4811.9573, 'N', 300.8998, 'W', 100930.0]
[4811.9577, 'N', 300.9001, 'W', 100931.0]
[4811.9582, 'N', 300.9003, 'W', 100932.0]
[4811.9585, 'N', 300.9004, 'W', 100933.0]
[4811.959, 'N', 300.9006, 'W', 100934.0]
[4811.9595, 'N', 300.9006, 'W', 100935.0]
[4811.9599, 'N', 300.9007, 'W', 100936.0]
[4811.9607, 'N', 300.9015, 'W', 100937.0]
[4811.9613, 'N', 300.9021, 'W', 100938.0]
[4811.9618, 'N', 300.903, 'W', 100939.0]
[4811.9623, 'N', 300.9036, 'W', 100940.0]
[4811.9628, 'N', 300.9043, 'W', 100941.0]
[4811.9632, 'N', 300.905, 'W', 100942.0]
[4811.9633, 'N', 300.9059, 'W', 100943.0]
[4811.9634, 'N', 300.9065, 'W', 100944.0]
[4811.9636, 'N', 300.9071, 'W', 100945.0]
[4811.9638, 'N', 300.9077, 'W', 100946.0]
[4811.9641, 'N', 300.9083, 'W', 100947.0]
[4811.9644, 'N', 300.9089, 'W', 100948.0]
[4811.9646, 'N', 300.9095, 'W', 100949.0]
[4811.965, 'N', 300.9101, 'W', 100950.0]
[4811.9654, 'N', 300.9106, 'W', 100951.0]
[4811.9659, 'N', 300.9111, 'W', 100952.0]
[4811.9663, 'N', 300.9116, 'W', 100953.0]
[4811.9667, 'N', 300.9121, 'W', 100954.0]
[4811.9671, 'N', 300.9125, 'W', 100955.0]
[4811.9675, 'N', 300.9129, 'W', 100956.0]
[4811.968, 'N', 300.913, 'W', 100957.0]
[4811.9684, 'N', 300.9132, 'W', 100958.0]
[4811.9688, 'N', 300.9136, 'W', 100959.0]
[4811.9692, 'N', 300.9139, 'W', 101000.0]
[4811.9697, 'N', 300.9142, 'W', 101001.0]
[4811.9701, 'N', 300.9144, 'W', 101002.0]
[4811.9706, 'N', 300.9148, 'W', 101003.0]
[4811.9711, 'N', 300.9152, 'W', 101004.0]
[4811.9713, 'N', 300.9157, 'W', 101005.0]
[4811.9716, 'N', 300.9163, 'W', 101006.0]
[4811.9718, 'N', 300.917, 'W', 101007.0]
[4811.972, 'N', 300.9177, 'W', 101008.0]
[4811.9722, 'N', 300.9183, 'W', 101009.0]
[4811.9723, 'N', 300.9189, 'W', 101010.0]
[4811.9725, 'N', 300.9195, 'W', 101011.0]
[4811.9726, 'N', 300.9201, 'W', 101012.0]
[4811.9728, 'N', 300.9208, 'W', 101013.0]
[4811.973, 'N', 300.9215, 'W', 101014.0]
[4811.9731, 'N', 300.9221, 'W', 101015.0]
