[4811.9795, 'N', 300.9359, 'W', 164208.0]
[4811.9795, 'N', 300.9359, 'W', 164209.0]
[4811.9794, 'N', 300.9359, 'W', 164210.0]
[4811.9788, 'N', 300.9364, 'W', 164211.0]
[4811.978, 'N', 300.9365, 'W', 164212.0]
[4811.9772, 'N', 300.9358, 'W', 164213.0]
[4811.9767, 'N', 300.9344, 'W', 164214.0]
[4811.9764, 'N', 300.9332, 'W', 164215.0]
[4811.9761, 'N', 300.9319, 'W', 164216.0]
[4811.9759, 'N', 300.9307, 'W', 164217.0]
[4811.9756, 'N', 300.9294, 'W', 164218.0]
[4811.9755, 'N', 300.9282, 'W', 164219.0]
[4811.9754, 'N', 300.927, 'W', 164220.0]
[4811.9753, 'N', 300.9259, 'W', 164221.0]
[4811.975, 'N', 300.9248, 'W', 164222.0]
[4811.9751, 'N', 300.9238, 'W', 164223.0]
[4811.9752, 'N', 300.9228, 'W', 164224.0]
[4811.9752, 'N', 300.9218, 'W', 164225.0]
