[4811.9763, 'N', 300.9036, 'W', 165250.0]
[4811.9763, 'N', 300.9036, 'W', 165251.0]
[4811.9762, 'N', 300.9036, 'W', 165252.0]
[4811.9756, 'N', 300.9039, 'W', 165253.0]
[4811.975, 'N', 300.9044, 'W', 165254.0]
[4811.9745, 'N', 300.9053, 'W', 165255.0]
[4811.974, 'N', 300.9064, 'W', 165256.0]
[4811.9735, 'N', 300.9077, 'W', 165257.0]
[4811.9731, 'N', 300.9091, 'W', 165258.0]
[4811.9727, 'N', 300.9102, 'W', 165259.0]
[4811.9723, 'N', 300.9116, 'W', 165300.0]
[4811.9719, 'N', 300.9131, 'W', 165301.0]
[4811.9715, 'N', 300.9144, 'W', 165302.0]
[4811.971, 'N', 300.9155, 'W', 165303.0]
[4811.9706, 'N', 300.9165, 'W', 165304.0]
[4811.9704, 'N', 300.9175, 'W', 165305.0]
[4811.9705, 'N', 300.9185, 'W', 165306.0]
[4811.9706, 'N', 300.9196, 'W', 165307.0]
[4811.9706, 'N', 300.9205, 'W', 165308.0]
[4811.9706, 'N', 300.9214, 'W', 165309.0]
[4811.9706, 'N', 300.9224, 'W', 165310.0]
[4811.9707, 'N', 300.9234, 'W', 165311.0]
[4811.971, 'N', 300.9243, 'W', 165312.0]
[4811.9711, 'N', 300.9251, 'W', 165313.0]
[4811.9715, 'N', 300.9258, 'W', 165314.0]
[4811.972, 'N', 300.926, 'W', 165315.0]
[4811.9726, 'N', 300.9257, 'W', 165316.0]
[4811.9728, 'N', 300.9248, 'W', 165317.0]
[4811.9728, 'N', 300.9235, 'W', 165318.0]
[4811.9728, 'N', 300.9223, 'W', 165319.0]
[4811.9727, 'N', 300.9211, 'W', 165320.0]
[4811.9726, 'N', 300.9202, 'W', 165321.0]
[4811.9724, 'N', 300.9198, 'W', 165322.0]
[4811.9722, 'N', 300.9195, 'W', 165323.0]
[4811.972, 'N', 300.9194, 'W', 165324.0]
[4811.9718, 'N', 300.9191, 'W', 165325.0]
[4811.9714, 'N', 300.9183, 'W', 165326.0]
[4811.9709, 'N', 300.9172, 'W', 165327.0]
[4811.9703, 'N', 300.9164, 'W', 165328.0]
[4811.9698, 'N', 300.9155, 'W', 165329.0]
[4811.9692, 'N', 300.9144, 'W', 165330.0]
[4811.9685, 'N', 300.9133, 'W', 165331.0]
[4811.9676, 'N', 300.9122, 'W', 165332.0]
[4811.9669, 'N', 300.9111, 'W', 165333.0]
[4811.9663, 'N', 300.9099, 'W', 165334.0]
