[4811.9672, 'N', 300.9121, 'W', 164509.0]
[4811.9672, 'N', 300.9121, 'W', 164510.0]
[4811.9671, 'N', 300.9121, 'W', 164511.0]
[4811.9664, 'N', 300.9126, 'W', 164512.0]
[4811.9661, 'N', 300.9136, 'W', 164513.0]
[4811.9663, 'N', 300.9148, 'W', 164514.0]
[4811.9665, 'N', 300.9161, 'W', 164515.0]
[4811.9668, 'N', 300.9173, 'W', 164516.0]
[4811.9674, 'N', 300.9182, 'W', 164517.0]
[4811.9678, 'N', 300.919, 'W', 164518.0]
[4811.9684, 'N', 300.9198, 'W', 164519.0]
[4811.9689, 'N', 300.9202, 'W', 164520.0]
[4811.9697, 'N', 300.9202, 'W', 164521.0]
[4811.9706, 'N', 300.9202, 'W', 164522.0]
[4811.9715, 'N', 300.9203, 'W', 164523.0]
[4811.9724, 'N', 300.9209, 'W', 164524.0]
