[4811.9733, 'N', 300.9301, 'W', 163930.0]
[4811.9733, 'N', 300.9301, 'W', 163931.0]
[4811.9732, 'N', 300.9301, 'W', 163932.0]
[4811.9728, 'N', 300.9306, 'W', 163933.0]
[4811.9721, 'N', 300.9306, 'W', 163934.0]
[4811.9714, 'N', 300.93, 'W', 163935.0]
[4811.9711, 'N', 300.929, 'W', 163936.0]
[4811.971, 'N', 300.9278, 'W', 163937.0]
[4811.971, 'N', 300.9266, 'W', 163938.0]
[4811.9709, 'N', 300.9254, 'W', 163939.0]
[4811.9709, 'N', 300.9241, 'W', 163940.0]
[4811.971, 'N', 300.9229, 'W', 163941.0]
[4811.9709, 'N', 300.9217, 'W', 163942.0]
[4811.9709, 'N', 300.9205, 'W', 163943.0]
[4811.9711, 'N', 300.9193, 'W', 163944.0]
[4811.9713, 'N', 300.9182, 'W', 163945.0]
[4811.9716, 'N', 300.9173, 'W', 163946.0]
[4811.9722, 'N', 300.9166, 'W', 163947.0]
[4811.9729, 'N', 300.9163, 'W', 163948.0]
[4811.9736, 'N', 300.9167, 'W', 163949.0]
[4811.9743, 'N', 300.9175, 'W', 163950.0]
[4811.9749, 'N', 300.9185, 'W', 163951.0]
[4811.9752, 'N', 300.9197, 'W', 163952.0]
[4811.9753, 'N', 300.921, 'W', 163953.0]
[4811.9752, 'N', 300.9223, 'W', 163954.0]
[4811.9753, 'N', 300.9237, 'W', 163955.0]
[4811.9755, 'N', 300.9251, 'W', 163956.0]
[4811.9758, 'N', 300.9263, 'W', 163957.0]
[4811.9763, 'N', 300.9275, 'W', 163958.0]
[4811.9769, 'N', 300.9286, 'W', 163959.0]
[4811.9775, 'N', 300.9295, 'W', 164000.0]
[4811.9783, 'N', 300.9303, 'W', 164001.0]
[4811.9791, 'N', 300.9309, 'W', 164002.0]
[4811.9801, 'N', 300.9312, 'W', 164003.0]
[4811.9809, 'N', 300.9315, 'W', 164004.0]
[4811.9816, 'N', 300.9321, 'W', 164005.0]
[4811.9823, 'N', 300.9328, 'W', 164006.0]
[4811.9828, 'N', 300.9336, 'W', 164007.0]
[4811.9833, 'N', 300.9345, 'W', 164008.0]
[4811.9836, 'N', 300.9356, 'W', 164009.0]
[4811.9841, 'N', 300.9366, 'W', 164010.0]
[4811.9848, 'N', 300.9373, 'W', 164011.0]
