[4812.0029, 'N', 300.9083, 'W', 163822.0]
[4812.0029, 'N', 300.9083, 'W', 163823.0]
[4812.0028, 'N', 300.9083, 'W', 163824.0]
[4812.0025, 'N', 300.9073, 'W', 163825.0]
[4812.0019, 'N', 300.9062, 'W', 163826.0]
[4812.0012, 'N', 300.9053, 'W', 163827.0]
[4812.0004, 'N', 300.9046, 'W', 163828.0]
[4811.9995, 'N', 300.904, 'W', 163829.0]
[4811.9985, 'N', 300.9036, 'W', 163830.0]
[4811.9976, 'N', 300.9031, 'W', 163831.0]
[4811.9967, 'N', 300.9028, 'W', 163832.0]
[4811.9958, 'N', 300.9026, 'W', 163833.0]
[4811.9949, 'N', 300.9025, 'W', 163834.0]
[4811.994, 'N', 300.9025, 'W', 163835.0]
[4811.9931, 'N', 300.9027, 'W', 163836.0]
[4811.9922, 'N', 300.903, 'W', 163837.0]
[4811.9914, 'N', 300.9032, 'W', 163838.0]
[4811.9905, 'N', 300.9033, 'W', 163839.0]
[4811.9896, 'N', 300.9034, 'W', 163840.0]
[4811.9886, 'N', 300.9036, 'W', 163841.0]
[4811.9878, 'N', 300.9038, 'W', 163842.0]
[4811.9869, 'N', 300.9041, 'W', 163843.0]
[4811.986, 'N', 300.9045, 'W', 163844.0]
[4811.9852, 'N', 300.9049, 'W', 163845.0]
[4811.9844, 'N', 300.9053, 'W', 163846.0]
[4811.9835, 'N', 300.9059, 'W', 163847.0]
[4811.9827, 'N', 300.9064, 'W', 163848.0]
[4811.9819, 'N', 300.9069, 'W', 163849.0]
[4811.9812, 'N', 300.9075, 'W', 163850.0]
[4811.9805, 'N', 300.9083, 'W', 163851.0]
[4811.9798, 'N', 300.9091, 'W', 163852.0]
[4811.979, 'N', 300.9099, 'W', 163853.0]
[4811.9783, 'N', 300.9107, 'W', 163854.0]
[4811.9777, 'N', 300.9115, 'W', 163855.0]
[4811.9771, 'N', 300.9123, 'W', 163856.0]
[4811.9764, 'N', 300.913, 'W', 163857.0]
[4811.9757, 'N', 300.9137, 'W', 163858.0]
[4811.975, 'N', 300.9146, 'W', 163859.0]
[4811.9743, 'N', 300.9154, 'W', 163900.0]
[4811.9737, 'N', 300.9163, 'W', 163901.0]
[4811.9731, 'N', 300.9173, 'W', 163902.0]
[4811.9726, 'N', 300.9183, 'W', 163903.0]
[4811.9722, 'N', 300.9194, 'W', 163904.0]
[4811.9719, 'N', 300.9205, 'W', 163905.0]
[4811.9718, 'N', 300.9216, 'W', 163906.0]
[4811.9717, 'N', 300.9228, 'W', 163907.0]
[4811.9718, 'N', 300.924, 'W', 163908.0]
[4811.972, 'N', 300.9254, 'W', 163909.0]
[4811.9723, 'N', 300.9268, 'W', 163910.0]
[4811.9727, 'N', 300.9279, 'W', 163911.0]
