[4811.944, 'N', 300.8913, 'W', 162949.0]
[4811.9439, 'N', 300.8913, 'W', 162950.0]
[4811.9438, 'N', 300.8913, 'W', 162951.0]
[4811.9432, 'N', 300.892, 'W', 162952.0]
[4811.9429, 'N', 300.8931, 'W', 162953.0]
[4811.9429, 'N', 300.8943, 'W', 162954.0]
[4811.9431, 'N', 300.8956, 'W', 162955.0]
[4811.9433, 'N', 300.897, 'W', 162956.0]
[4811.9439, 'N', 300.8982, 'W', 162957.0]
[4811.9447, 'N', 300.8993, 'W', 162958.0]
[4811.9452, 'N', 300.9006, 'W', 162959.0]
[4811.946, 'N', 300.9017, 'W', 163000.0]
[4811.9464, 'N', 300.9029, 'W', 163001.0]
[4811.9468, 'N', 300.9038, 'W', 163002.0]
[4811.9473, 'N', 300.9048, 'W', 163003.0]
[4811.9478, 'N', 300.9056, 'W', 163004.0]
[4811.9485, 'N', 300.9062, 'W', 163005.0]
[4811.9493, 'N', 300.9068, 'W', 163006.0]
[4811.95, 'N', 300.9075, 'W', 163007.0]
[4811.9507, 'N', 300.9083, 'W', 163008.0]
[4811.9514, 'N', 300.9092, 'W', 163009.0]
[4811.9521, 'N', 300.9099, 'W', 163010.0]
[4811.9528, 'N', 300.9105, 'W', 163011.0]
[4811.9537, 'N', 300.9112, 'W', 163012.0]
[4811.9545, 'N', 300.9117, 'W', 163013.0]
[4811.9553, 'N', 300.9122, 'W', 163014.0]
[4811.956, 'N', 300.9129, 'W', 163015.0]
[4811.9566, 'N', 300.9135, 'W', 163016.0]
[4811.9574, 'N', 300.9142, 'W', 163017.0]
[4811.9582, 'N', 300.9146, 'W', 163018.0]
[4811.9591, 'N', 300.9148, 'W', 163019.0]
[4811.9599, 'N', 300.9151, 'W', 163020.0]
[4811.9608, 'N', 300.9154, 'W', 163021.0]
[4811.9617, 'N', 300.9155, 'W', 163022.0]
[4811.9626, 'N', 300.9154, 'W', 163023.0]
[4811.9635, 'N', 300.9157, 'W', 163024.0]
[4811.9642, 'N', 300.9162, 'W', 163025.0]
[4811.9652, 'N', 300.916, 'W', 163026.0]
[4811.9661, 'N', 300.9157, 'W', 163027.0]
[4811.967, 'N', 300.9159, 'W', 163028.0]
[4811.9678, 'N', 300.9161, 'W', 163029.0]
[4811.9686, 'N', 300.9165, 'W', 163030.0]
[4811.9696, 'N', 300.9164, 'W', 163031.0]
[4811.9705, 'N', 300.9167, 'W', 163032.0]
[4811.9714, 'N', 300.9171, 'W', 163033.0]
[4811.9722, 'N', 300.9176, 'W', 163034.0]
[4811.9729, 'N', 300.9182, 'W', 163035.0]
[4811.9735, 'N', 300.9189, 'W', 163036.0]
[4811.9741, 'N', 300.9198, 'W', 163037.0]
[4811.9746, 'N', 300.9206, 'W', 163038.0]
[4811.9751, 'N', 300.9216, 'W', 163039.0]
[4811.9758, 'N', 300.9223, 'W', 163040.0]
[4811.9766, 'N', 300.9224, 'W', 163041.0]
[4811.9775, 'N', 300.9223, 'W', 163042.0]
[4811.9782, 'N', 300.922, 'W', 163043.0]
[4811.9792, 'N', 300.9221, 'W', 163044.0]
[4811.98, 'N', 300.9221, 'W', 163045.0]
[4811.9811, 'N', 300.9219, 'W', 163046.0]
[4811.9817, 'N', 300.9214, 'W', 163047.0]
[4811.9825, 'N', 300.9211, 'W', 163048.0]
[4811.9833, 'N', 300.9208, 'W', 163049.0]
[4811.9842, 'N', 300.9205, 'W', 163050.0]
[4811.9852, 'N', 300.92, 'W', 163051.0]
[4811.9861, 'N', 300.9194, 'W', 163052.0]
[4811.987, 'N', 300.9187, 'W', 163053.0]
[4811.9879, 'N', 300.9178, 'W', 163054.0]
[4811.9886, 'N', 300.9169, 'W', 163055.0]
[4811.9893, 'N', 300.9158, 'W', 163056.0]
[4811.99, 'N', 300.9148, 'W', 163057.0]
[4811.9908, 'N', 300.914, 'W', 163058.0]
[4811.9916, 'N', 300.9133, 'W', 163059.0]
[4811.9925, 'N', 300.9125, 'W', 163100.0]
[4811.9933, 'N', 300.9117, 'W', 163101.0]
[4811.9942, 'N', 300.911, 'W', 163102.0]
[4811.9951, 'N', 300.9102, 'W', 163103.0]
[4811.9961, 'N', 300.9094, 'W', 163104.0]
[4811.997, 'N', 300.9086, 'W', 163105.0]
[4811.9978, 'N', 300.9077, 'W', 163106.0]
[4811.9987, 'N', 300.9069, 'W', 163107.0]
[4811.9996, 'N', 300.9062, 'W', 163108.0]
[4812.0006, 'N', 300.9056, 'W', 163109.0]
[4812.0014, 'N', 300.9049, 'W', 163110.0]
