[4811.9477, 'N', 300.8792, 'W', 152822.0]
[4811.9477, 'N', 300.8792, 'W', 152823.0]
[4811.9477, 'N', 300.8792, 'W', 152824.0]
[4811.9477, 'N', 300.8792, 'W', 152825.0]
[4811.9477, 'N', 300.8792, 'W', 152826.0]
[4811.9477, 'N', 300.8792, 'W', 152827.0]
[4811.9477, 'N', 300.8792, 'W', 152828.0]
[4811.9477, 'N', 300.8792, 'W', 152829.0]
[4811.9477, 'N', 300.8792, 'W', 152830.0]
[4811.9477, 'N', 300.8792, 'W', 152831.0]
[4811.9477, 'N', 300.8792, 'W', 152832.0]
[4811.9478, 'N', 300.8793, 'W', 152833.0]
[4811.9483, 'N', 300.8801, 'W', 152834.0]
[4811.9488, 'N', 300.8809, 'W', 152835.0]
[4811.9492, 'N', 300.8815, 'W', 152836.0]
[4811.9496, 'N', 300.8824, 'W', 152837.0]
[4811.9499, 'N', 300.8832, 'W', 152838.0]
[4811.9504, 'N', 300.8843, 'W', 152839.0]
[4811.9508, 'N', 300.8858, 'W', 152840.0]
[4811.9509, 'N', 300.8869, 'W', 152841.0]
[4811.951, 'N', 300.8879, 'W', 152842.0]
[4811.9513, 'N', 300.8891, 'W', 152843.0]
[4811.9515, 'N', 300.8905, 'W', 152844.0]
[4811.9517, 'N', 300.8916, 'W', 152845.0]
[4811.952, 'N', 300.8927, 'W', 152846.0]
[4811.9522, 'N', 300.8938, 'W', 152847.0]
[4811.9525, 'N', 300.8947, 'W', 152848.0]
[4811.9527, 'N', 300.8955, 'W', 152849.0]
[4811.953, 'N', 300.8963, 'W', 152850.0]
[4811.9533, 'N', 300.897, 'W', 152851.0]
[4811.9535, 'N', 300.8977, 'W', 152852.0]
[4811.9539, 'N', 300.8984, 'W', 152853.0]
[4811.9541, 'N', 300.8989, 'W', 152854.0]
[4811.9545, 'N', 300.8997, 'W', 152855.0]
[4811.9548, 'N', 300.9005, 'W', 152856.0]
[4811.955, 'N', 300.9012, 'W', 152857.0]
[4811.9553, 'N', 300.902, 'W', 152858.0]
[4811.9556, 'N', 300.9028, 'W', 152859.0]
[4811.9562, 'N', 300.9034, 'W', 152900.0]
[4811.9567, 'N', 300.904, 'W', 152901.0]
[4811.9574, 'N', 300.9045, 'W', 152902.0]
[4811.9577, 'N', 300.9051, 'W', 152903.0]
[4811.9582, 'N', 300.9058, 'W', 152904.0]
[4811.9585, 'N', 300.9065, 'W', 152905.0]
[4811.9589, 'N', 300.9071, 'W', 152906.0]
[4811.9592, 'N', 300.9078, 'W', 152907.0]
[4811.9595, 'N', 300.9086, 'W', 152908.0]
[4811.9598, 'N', 300.9092, 'W', 152909.0]
[4811.9602, 'N', 300.9099, 'W', 152910.0]
[4811.9605, 'N', 300.9106, 'W', 152911.0]
[4811.961, 'N', 300.9113, 'W', 152912.0]
[4811.9614, 'N', 300.9118, 'W', 152913.0]
[4811.9618, 'N', 300.9124, 'W', 152914.0]
[4811.9622, 'N', 300.9131, 'W', 152915.0]
[4811.9626, 'N', 300.9136, 'W', 152916.0]
