[4811.9493, 'N', 300.8843, 'W', 154551.0]
[4811.9496, 'N', 300.8842, 'W', 154552.0]
[4811.9496, 'N', 300.8842, 'W', 154553.0]
[4811.9496, 'N', 300.8842, 'W', 154554.0]
[4811.9498, 'N', 300.885, 'W', 154555.0]
[4811.9503, 'N', 300.8861, 'W', 154556.0]
[4811.9507, 'N', 300.8873, 'W', 154557.0]
[4811.9509, 'N', 300.8885, 'W', 154558.0]
[4811.9512, 'N', 300.8898, 'W', 154559.0]
[4811.9514, 'N', 300.8911, 'W', 154600.0]
[4811.9517, 'N', 300.8924, 'W', 154601.0]
[4811.952, 'N', 300.8937, 'W', 154602.0]
[4811.9524, 'N', 300.8949, 'W', 154603.0]
[4811.9529, 'N', 300.8962, 'W', 154604.0]
[4811.9533, 'N', 300.8974, 'W', 154605.0]
[4811.9537, 'N', 300.8986, 'W', 154606.0]
[4811.954, 'N', 300.8997, 'W', 154607.0]
[4811.9544, 'N', 300.901, 'W', 154608.0]
[4811.9546, 'N', 300.9023, 'W', 154609.0]
[4811.9549, 'N', 300.9035, 'W', 154610.0]
[4811.9551, 'N', 300.9047, 'W', 154611.0]
[4811.9554, 'N', 300.9058, 'W', 154612.0]
[4811.9557, 'N', 300.9069, 'W', 154613.0]
[4811.9561, 'N', 300.9081, 'W', 154614.0]
[4811.9566, 'N', 300.9093, 'W', 154615.0]
[4811.9571, 'N', 300.9104, 'W', 154616.0]
[4811.9576, 'N', 300.9114, 'W', 154617.0]
[4811.9581, 'N', 300.9125, 'W', 154618.0]
[4811.9588, 'N', 300.9135, 'W', 154619.0]
[4811.9595, 'N', 300.9143, 'W', 154620.0]
[4811.9603, 'N', 300.9149, 'W', 154621.0]
[4811.9611, 'N', 300.9155, 'W', 154622.0]
[4811.962, 'N', 300.9161, 'W', 154623.0]
[4811.9629, 'N', 300.9166, 'W', 154624.0]
[4811.9637, 'N', 300.9172, 'W', 154625.0]
[4811.9645, 'N', 300.9178, 'W', 154626.0]
[4811.9653, 'N', 300.9185, 'W', 154627.0]
[4811.966, 'N', 300.9192, 'W', 154628.0]
[4811.9668, 'N', 300.9197, 'W', 154629.0]
