[4811.9991, 'N', 300.8999, 'W', 164939.0]
[4811.999, 'N', 300.8999, 'W', 164940.0]
[4811.9989, 'N', 300.8999, 'W', 164941.0]
[4811.9983, 'N', 300.899, 'W', 164942.0]
[4811.9973, 'N', 300.8982, 'W', 164943.0]
[4811.9962, 'N', 300.8977, 'W', 164944.0]
[4811.9951, 'N', 300.8976, 'W', 164945.0]
[4811.9941, 'N', 300.8977, 'W', 164946.0]
[4811.9931, 'N', 300.8981, 'W', 164947.0]
[4811.9925, 'N', 300.8985, 'W', 164948.0]
[4811.9915, 'N', 300.8989, 'W', 164949.0]
[4811.9908, 'N', 300.8997, 'W', 164950.0]
[4811.9899, 'N', 300.9003, 'W', 164951.0]
[4811.9892, 'N', 300.9009, 'W', 164952.0]
[4811.9884, 'N', 300.9015, 'W', 164953.0]
[4811.9877, 'N', 300.9019, 'W', 164954.0]
[4811.9868, 'N', 300.9023, 'W', 164955.0]
[4811.986, 'N', 300.9026, 'W', 164956.0]
[4811.9853, 'N', 300.903, 'W', 164957.0]
[4811.9844, 'N', 300.9033, 'W', 164958.0]
[4811.9836, 'N', 300.9039, 'W', 164959.0]
[4811.9827, 'N', 300.9043, 'W', 165000.0]
[4811.9818, 'N', 300.9049, 'W', 165001.0]
[4811.981, 'N', 300.9054, 'W', 165002.0]
[4811.9803, 'N', 300.906, 'W', 165003.0]
[4811.9795, 'N', 300.9067, 'W', 165004.0]
[4811.9787, 'N', 300.9074, 'W', 165005.0]
[4811.978, 'N', 300.908, 'W', 165006.0]
[4811.9772, 'N', 300.9089, 'W', 165007.0]
[4811.9765, 'N', 300.9096, 'W', 165008.0]
[4811.9757, 'N', 300.9103, 'W', 165009.0]
[4811.975, 'N', 300.911, 'W', 165010.0]
[4811.9744, 'N', 300.9118, 'W', 165011.0]
[4811.9739, 'N', 300.9129, 'W', 165012.0]
[4811.9733, 'N', 300.9141, 'W', 165013.0]
[4811.973, 'N', 300.9155, 'W', 165014.0]
[4811.9727, 'N', 300.9169, 'W', 165015.0]
[4811.9724, 'N', 300.9181, 'W', 165016.0]
[4811.9723, 'N', 300.9192, 'W', 165017.0]
[4811.9722, 'N', 300.9203, 'W', 165018.0]
[4811.9722, 'N', 300.9214, 'W', 165019.0]
