[4811.9509, 'N', 300.8799, 'W', 162019.0]
[4811.9509, 'N', 300.8799, 'W', 162020.0]
[4811.9508, 'N', 300.8799, 'W', 162021.0]
[4811.9508, 'N', 300.8799, 'W', 162022.0]
[4811.9511, 'N', 300.8805, 'W', 162023.0]
[4811.9516, 'N', 300.8809, 'W', 162024.0]
[4811.9522, 'N', 300.8808, 'W', 162025.0]
[4811.9527, 'N', 300.8807, 'W', 162026.0]
[4811.9533, 'N', 300.8806, 'W', 162027.0]
[4811.9537, 'N', 300.8804, 'W', 162028.0]
[4811.9543, 'N', 300.8802, 'W', 162029.0]
[4811.9548, 'N', 300.8801, 'W', 162030.0]
[4811.9553, 'N', 300.8799, 'W', 162031.0]
[4811.9559, 'N', 300.8798, 'W', 162032.0]
[4811.9566, 'N', 300.8798, 'W', 162033.0]
[4811.9572, 'N', 300.8798, 'W', 162034.0]
[4811.9578, 'N', 300.8798, 'W', 162035.0]
[4811.9585, 'N', 300.8797, 'W', 162036.0]
