[4811.9495, 'N', 300.8858, 'W', 150852.0]
[4811.9495, 'N', 300.8858, 'W', 150853.0]
[4811.9495, 'N', 300.8858, 'W', 150854.0]
[4811.9495, 'N', 300.8859, 'W', 150855.0]
[4811.9503, 'N', 300.8848, 'W', 150856.0]
[4811.9516, 'N', 300.885, 'W', 150857.0]
[4811.952, 'N', 300.8857, 'W', 150858.0]
[4811.9521, 'N', 300.8862, 'W', 150859.0]
[4811.9527, 'N', 300.8858, 'W', 150900.0]
[4811.9531, 'N', 300.8862, 'W', 150901.0]
[4811.9536, 'N', 300.8864, 'W', 150902.0]
[4811.9539, 'N', 300.8867, 'W', 150903.0]
[4811.9542, 'N', 300.8873, 'W', 150904.0]
[4811.9548, 'N', 300.8883, 'W', 150905.0]
[4811.955, 'N', 300.8895, 'W', 150906.0]
[4811.9552, 'N', 300.8904, 'W', 150907.0]
[4811.9553, 'N', 300.8913, 'W', 150908.0]
[4811.9551, 'N', 300.8919, 'W', 150909.0]
[4811.9549, 'N', 300.8926, 'W', 150910.0]
[4811.9547, 'N', 300.8934, 'W', 150911.0]
[4811.9547, 'N', 300.8947, 'W', 150912.0]
[4811.9548, 'N', 300.8958, 'W', 150913.0]
[4811.955, 'N', 300.8967, 'W', 150914.0]
[4811.9553, 'N', 300.8977, 'W', 150915.0]
[4811.9556, 'N', 300.8986, 'W', 150916.0]
[4811.9559, 'N', 300.8996, 'W', 150917.0]
[4811.956, 'N', 300.9008, 'W', 150918.0]
[4811.9559, 'N', 300.9019, 'W', 150919.0]
