[4811.9647, 'N', 300.9012, 'W', 151532.0]
[4811.9646, 'N', 300.9011, 'W', 151533.0]
[4811.9645, 'N', 300.9011, 'W', 151534.0]
[4811.964, 'N', 300.901, 'W', 151535.0]
[4811.9634, 'N', 300.9013, 'W', 151536.0]
[4811.963, 'N', 300.9021, 'W', 151537.0]
[4811.9627, 'N', 300.903, 'W', 151538.0]
[4811.9625, 'N', 300.904, 'W', 151539.0]
[4811.9623, 'N', 300.905, 'W', 151540.0]
[4811.9623, 'N', 300.9059, 'W', 151541.0]
[4811.9623, 'N', 300.9069, 'W', 151542.0]
[4811.9625, 'N', 300.9079, 'W', 151543.0]
[4811.9626, 'N', 300.9088, 'W', 151544.0]
[4811.9629, 'N', 300.9096, 'W', 151545.0]
[4811.9632, 'N', 300.9104, 'W', 151546.0]
[4811.9635, 'N', 300.9112, 'W', 151547.0]
[4811.964, 'N', 300.9119, 'W', 151548.0]
[4811.9644, 'N', 300.9126, 'W', 151549.0]
[4811.9649, 'N', 300.913, 'W', 151550.0]
[4811.9655, 'N', 300.9134, 'W', 151551.0]
[4811.9661, 'N', 300.9138, 'W', 151552.0]
[4811.9666, 'N', 300.9143, 'W', 151553.0]
[4811.9671, 'N', 300.9147, 'W', 151554.0]
[4811.9677, 'N', 300.9151, 'W', 151555.0]
[4811.9682, 'N', 300.9155, 'W', 151556.0]
[4811.9686, 'N', 300.916, 'W', 151557.0]
[4811.9691, 'N', 300.9166, 'W', 151558.0]
[4811.9697, 'N', 300.9169, 'W', 151559.0]
[4811.9704, 'N', 300.917, 'W', 151600.0]
[4811.971, 'N', 300.917, 'W', 151601.0]
[4811.9716, 'N', 300.9171, 'W', 151602.0]
[4811.9722, 'N', 300.9174, 'W', 151603.0]
[4811.9727, 'N', 300.9176, 'W', 151604.0]
[4811.9732, 'N', 300.918, 'W', 151605.0]
[4811.9736, 'N', 300.9185, 'W', 151606.0]
[4811.974, 'N', 300.9191, 'W', 151607.0]
[4811.9743, 'N', 300.9198, 'W', 151608.0]
[4811.9745, 'N', 300.9205, 'W', 151609.0]
[4811.9746, 'N', 300.9214, 'W', 151610.0]
[4811.9744, 'N', 300.9221, 'W', 151611.0]
[4811.9739, 'N', 300.9225, 'W', 151612.0]
[4811.9733, 'N', 300.9224, 'W', 151613.0]
[4811.9728, 'N', 300.9218, 'W', 151614.0]
[4811.9724, 'N', 300.9209, 'W', 151615.0]
[4811.9723, 'N', 300.92, 'W', 151616.0]
[4811.9722, 'N', 300.9191, 'W', 151617.0]
[4811.9721, 'N', 300.9182, 'W', 151618.0]
[4811.9719, 'N', 300.9173, 'W', 151619.0]
[4811.9717, 'N', 300.9164, 'W', 151620.0]
[4811.9715, 'N', 300.9155, 'W', 151621.0]
[4811.9713, 'N', 300.9146, 'W', 151622.0]
[4811.9711, 'N', 300.9138, 'W', 151623.0]
[4811.971, 'N', 300.913, 'W', 151624.0]
[4811.9708, 'N', 300.9122, 'W', 151625.0]
[4811.9706, 'N', 300.9114, 'W', 151626.0]
[4811.9704, 'N', 300.9106, 'W', 151627.0]
[4811.9703, 'N', 300.9098, 'W', 151628.0]
[4811.9702, 'N', 300.909, 'W', 151629.0]
[4811.9701, 'N', 300.9082, 'W', 151630.0]
[4811.97, 'N', 300.9074, 'W', 151631.0]
[4811.9699, 'N', 300.9066, 'W', 151632.0]
[4811.9699, 'N', 300.9058, 'W', 151633.0]
[4811.9699, 'N', 300.905, 'W', 151634.0]
[4811.9698, 'N', 300.9042, 'W', 151635.0]
[4811.9696, 'N', 300.9034, 'W', 151636.0]
[4811.9695, 'N', 300.9026, 'W', 151637.0]
[4811.9693, 'N', 300.9018, 'W', 151638.0]
[4811.969, 'N', 300.901, 'W', 151639.0]
[4811.9686, 'N', 300.9004, 'W', 151640.0]
[4811.9683, 'N', 300.8997, 'W', 151641.0]
[4811.968, 'N', 300.899, 'W', 151642.0]
[4811.9678, 'N', 300.8982, 'W', 151643.0]
[4811.9675, 'N', 300.8975, 'W', 151644.0]
[4811.9672, 'N', 300.8967, 'W', 151645.0]
[4811.9668, 'N', 300.8961, 'W', 151646.0]
[4811.9665, 'N', 300.8953, 'W', 151647.0]
[4811.9663, 'N', 300.8946, 'W', 151648.0]
[4811.9661, 'N', 300.8938, 'W', 151649.0]
[4811.9659, 'N', 300.893, 'W', 151650.0]
[4811.9656, 'N', 300.8923, 'W', 151651.0]
[4811.9652, 'N', 300.8916, 'W', 151652.0]
[4811.9648, 'N', 300.891, 'W', 151653.0]
[4811.9645, 'N', 300.8903, 'W', 151654.0]
[4811.9642, 'N', 300.8896, 'W', 151655.0]
[4811.9639, 'N', 300.8888, 'W', 151656.0]
[4811.9636, 'N', 300.8882, 'W', 151657.0]
[4811.9632, 'N', 300.8875, 'W', 151658.0]
[4811.9628, 'N', 300.8869, 'W', 151659.0]
[4811.9624, 'N', 300.8863, 'W', 151700.0]
[4811.962, 'N', 300.8856, 'W', 151701.0]
