[4811.9504, 'N', 300.8845, 'W', 150300.303]
[4811.9509, 'N', 300.8861, 'W', 150302.0]
[4811.9501, 'N', 300.886, 'W', 150303.0]
[4811.9503, 'N', 300.8858, 'W', 150304.0]
[4811.9484, 'N', 300.8856, 'W', 150305.0]
[4811.9503, 'N', 300.8878, 'W', 150306.0]
[4811.9499, 'N', 300.8878, 'W', 150307.0]
[4811.9516, 'N', 300.8893, 'W', 150308.0]
[4811.951, 'N', 300.8879, 'W', 150309.0]
[4811.9526, 'N', 300.8896, 'W', 150310.0]
[4811.9522, 'N', 300.8897, 'W', 150311.0]
[4811.9532, 'N', 300.8908, 'W', 150312.0]
[4811.9528, 'N', 300.8906, 'W', 150313.0]
[4811.9541, 'N', 300.8915, 'W', 150314.0]
[4811.9541, 'N', 300.8908, 'W', 150315.0]
[4811.9552, 'N', 300.8917, 'W', 150316.0]
[4811.956, 'N', 300.8925, 'W', 150317.0]
[4811.9551, 'N', 300.8916, 'W', 150318.0]
[4811.9565, 'N', 300.8937, 'W', 150319.0]
[4811.9564, 'N', 300.8938, 'W', 150320.0]
[4811.9581, 'N', 300.8954, 'W', 150321.0]
[4811.9567, 'N', 300.8955, 'W', 150322.0]
[4811.9591, 'N', 300.8981, 'W', 150323.0]
[4811.9584, 'N', 300.898, 'W', 150324.0]
[4811.9592, 'N', 300.8994, 'W', 150325.0]
[4811.9586, 'N', 300.899, 'W', 150326.0]
[4811.9597, 'N', 300.9002, 'W', 150327.0]
[4811.9598, 'N', 300.9009, 'W', 150328.0]
[4811.9609, 'N', 300.9019, 'W', 150329.0]
[4811.9606, 'N', 300.9016, 'W', 150330.0]
[4811.9614, 'N', 300.9024, 'W', 150331.0]
[4811.962, 'N', 300.9028, 'W', 150332.0]
[4811.9625, 'N', 300.9034, 'W', 150333.0]
[4811.963, 'N', 300.904, 'W', 150334.0]
[4811.9635, 'N', 300.9045, 'W', 150335.0]
[4811.964, 'N', 300.9052, 'W', 150336.0]
[4811.9643, 'N', 300.9058, 'W', 150337.0]
[4811.9647, 'N', 300.9064, 'W', 150338.0]
[4811.9651, 'N', 300.9071, 'W', 150339.0]
[4811.9654, 'N', 300.9077, 'W', 150340.0]
[4811.9657, 'N', 300.9084, 'W', 150341.0]
[4811.9661, 'N', 300.9091, 'W', 150342.0]
[4811.9664, 'N', 300.9098, 'W', 150343.0]
[4811.9668, 'N', 300.9105, 'W', 150344.0]
[4811.9671, 'N', 300.9112, 'W', 150345.0]
[4811.9674, 'N', 300.9119, 'W', 150346.0]
[4811.9677, 'N', 300.9127, 'W', 150347.0]
[4811.968, 'N', 300.9134, 'W', 150348.0]
[4811.9683, 'N', 300.9142, 'W', 150349.0]
[4811.9685, 'N', 300.9149, 'W', 150350.0]
[4811.9688, 'N', 300.9156, 'W', 150351.0]
[4811.9692, 'N', 300.9163, 'W', 150352.0]
