[4811.9511, 'N', 300.8837, 'W', 145824.0]
[4811.9511, 'N', 300.8837, 'W', 145825.0]
[4811.9512, 'N', 300.8837, 'W', 145826.0]
[4811.9512, 'N', 300.8837, 'W', 145827.0]
[4811.9513, 'N', 300.8838, 'W', 145828.0]
[4811.9517, 'N', 300.8834, 'W', 145829.0]
[4811.952, 'N', 300.8826, 'W', 145830.0]
[4811.9526, 'N', 300.8819, 'W', 145831.0]
[4811.9529, 'N', 300.8816, 'W', 145832.0]
[4811.9534, 'N', 300.8816, 'W', 145833.0]
[4811.9538, 'N', 300.8818, 'W', 145834.0]
[4811.9536, 'N', 300.8822, 'W', 145835.0]
[4811.9534, 'N', 300.8826, 'W', 145836.0]
[4811.9528, 'N', 300.8844, 'W', 145837.0]
[4811.9523, 'N', 300.8859, 'W', 145838.0]
[4811.9519, 'N', 300.8871, 'W', 145839.0]
[4811.9516, 'N', 300.8883, 'W', 145840.0]
[4811.9516, 'N', 300.8896, 'W', 145841.0]
[4811.9523, 'N', 300.8903, 'W', 145842.0]
[4811.953, 'N', 300.8898, 'W', 145843.0]
[4811.9537, 'N', 300.8892, 'W', 145844.0]
[4811.9543, 'N', 300.8887, 'W', 145845.0]
