[4811.9511, 'N', 300.8868, 'W', 141038.0]
[4811.9511, 'N', 300.8868, 'W', 141039.0]
[4811.9511, 'N', 300.8868, 'W', 141040.0]
[4811.9511, 'N', 300.8868, 'W', 141041.0]
[4811.9511, 'N', 300.8869, 'W', 141042.0]
[4811.9513, 'N', 300.8869, 'W', 141043.0]
[4811.9516, 'N', 300.8869, 'W', 141044.0]
[4811.9521, 'N', 300.8869, 'W', 141045.0]
[4811.9525, 'N', 300.8869, 'W', 141046.0]
[4811.9529, 'N', 300.8868, 'W', 141047.0]
[4811.9534, 'N', 300.887, 'W', 141048.0]
[4811.9539, 'N', 300.8872, 'W', 141049.0]
[4811.9543, 'N', 300.8875, 'W', 141050.0]
[4811.9546, 'N', 300.8879, 'W', 141051.0]
[4811.955, 'N', 300.8884, 'W', 141052.0]
[4811.9553, 'N', 300.8894, 'W', 141053.0]
[4811.9558, 'N', 300.8906, 'W', 141054.0]
[4811.9563, 'N', 300.8915, 'W', 141055.0]
[4811.9567, 'N', 300.8924, 'W', 141056.0]
[4811.9571, 'N', 300.8935, 'W', 141057.0]
[4811.9575, 'N', 300.8942, 'W', 141058.0]
[4811.9581, 'N', 300.8947, 'W', 141059.0]
[4811.9586, 'N', 300.8952, 'W', 141100.0]
[4811.9591, 'N', 300.8955, 'W', 141101.0]
[4811.9597, 'N', 300.8958, 'W', 141102.0]
[4811.9602, 'N', 300.8962, 'W', 141103.0]
[4811.9608, 'N', 300.8965, 'W', 141104.0]
[4811.9614, 'N', 300.8969, 'W', 141105.0]
[4811.9619, 'N', 300.8973, 'W', 141106.0]
[4811.9624, 'N', 300.8979, 'W', 141107.0]
[4811.9628, 'N', 300.8986, 'W', 141108.0]
[4811.9629, 'N', 300.8993, 'W', 141109.0]
[4811.9629, 'N', 300.8999, 'W', 141110.0]
[4811.9628, 'N', 300.9005, 'W', 141111.0]
[4811.9627, 'N', 300.9012, 'W', 141112.0]
[4811.9627, 'N', 300.902, 'W', 141113.0]
[4811.9627, 'N', 300.9028, 'W', 141114.0]
[4811.9628, 'N', 300.9035, 'W', 141115.0]
[4811.9629, 'N', 300.9042, 'W', 141116.0]
[4811.9631, 'N', 300.9048, 'W', 141117.0]
[4811.9635, 'N', 300.9053, 'W', 141118.0]
[4811.964, 'N', 300.9058, 'W', 141119.0]
[4811.9645, 'N', 300.9061, 'W', 141120.0]
[4811.965, 'N', 300.9064, 'W', 141121.0]
[4811.9655, 'N', 300.9067, 'W', 141122.0]
[4811.966, 'N', 300.9069, 'W', 141123.0]
[4811.9664, 'N', 300.9071, 'W', 141124.0]
[4811.9668, 'N', 300.9074, 'W', 141125.0]
[4811.9672, 'N', 300.9079, 'W', 141126.0]
[4811.9677, 'N', 300.9084, 'W', 141127.0]
[4811.9681, 'N', 300.9088, 'W', 141128.0]
[4811.9685, 'N', 300.9093, 'W', 141129.0]
[4811.9687, 'N', 300.9098, 'W', 141130.0]
[4811.9688, 'N', 300.9104, 'W', 141131.0]
[4811.9689, 'N', 300.9112, 'W', 141132.0]
[4811.969, 'N', 300.9121, 'W', 141133.0]
[4811.969, 'N', 300.9129, 'W', 141134.0]
[4811.969, 'N', 300.9137, 'W', 141135.0]
[4811.9689, 'N', 300.9145, 'W', 141136.0]
[4811.9689, 'N', 300.9152, 'W', 141137.0]
[4811.9689, 'N', 300.9158, 'W', 141138.0]
[4811.9692, 'N', 300.9166, 'W', 141139.0]
[4811.9695, 'N', 300.9173, 'W', 141140.0]
[4811.9699, 'N', 300.9179, 'W', 141141.0]
[4811.9703, 'N', 300.9183, 'W', 141142.0]
[4811.9708, 'N', 300.9187, 'W', 141143.0]
[4811.9713, 'N', 300.9188, 'W', 141144.0]
