[4811.9538, 'N', 300.8781, 'W', 153644.0]
[4811.9538, 'N', 300.8781, 'W', 153645.0]
[4811.9538, 'N', 300.8781, 'W', 153646.0]
[4811.9538, 'N', 300.878, 'W', 153647.0]
[4811.9538, 'N', 300.878, 'W', 153648.0]
[4811.9538, 'N', 300.878, 'W', 153649.0]
[4811.9538, 'N', 300.8781, 'W', 153650.0]
[4811.9538, 'N', 300.8782, 'W', 153651.0]
[4811.9538, 'N', 300.8785, 'W', 153652.0]
[4811.9539, 'N', 300.8792, 'W', 153653.0]
[4811.9539, 'N', 300.8801, 'W', 153654.0]
[4811.954, 'N', 300.881, 'W', 153655.0]
[4811.9539, 'N', 300.8819, 'W', 153656.0]
[4811.9539, 'N', 300.8828, 'W', 153657.0]
[4811.9538, 'N', 300.8837, 'W', 153658.0]
[4811.9536, 'N', 300.8846, 'W', 153659.0]
[4811.9534, 'N', 300.8854, 'W', 153700.0]
[4811.9533, 'N', 300.8862, 'W', 153701.0]
[4811.9533, 'N', 300.8871, 'W', 153702.0]
[4811.9533, 'N', 300.888, 'W', 153703.0]
[4811.9533, 'N', 300.8889, 'W', 153704.0]
[4811.9534, 'N', 300.8897, 'W', 153705.0]
[4811.9534, 'N', 300.8906, 'W', 153706.0]
[4811.9535, 'N', 300.8915, 'W', 153707.0]
[4811.9536, 'N', 300.8923, 'W', 153708.0]
[4811.9537, 'N', 300.8932, 'W', 153709.0]
[4811.9537, 'N', 300.8941, 'W', 153710.0]
[4811.9538, 'N', 300.8951, 'W', 153711.0]
[4811.954, 'N', 300.896, 'W', 153712.0]
[4811.9542, 'N', 300.8968, 'W', 153713.0]
[4811.9543, 'N', 300.8977, 'W', 153714.0]
[4811.9544, 'N', 300.8985, 'W', 153715.0]
[4811.9546, 'N', 300.8993, 'W', 153716.0]
[4811.9547, 'N', 300.9001, 'W', 153717.0]
[4811.9549, 'N', 300.9009, 'W', 153718.0]
[4811.9551, 'N', 300.9017, 'W', 153719.0]
[4811.9553, 'N', 300.9024, 'W', 153720.0]
[4811.9555, 'N', 300.9032, 'W', 153721.0]
[4811.9556, 'N', 300.904, 'W', 153722.0]
[4811.9558, 'N', 300.9048, 'W', 153723.0]
[4811.9559, 'N', 300.9056, 'W', 153724.0]
[4811.956, 'N', 300.9065, 'W', 153725.0]
[4811.9562, 'N', 300.9074, 'W', 153726.0]
[4811.9563, 'N', 300.9082, 'W', 153727.0]
